,DKK
1997-11-21,0.1514
1997-11-24,0.1521
1997-11-25,0.1519
1997-11-26,0.1499
1997-11-27,0.1499
1997-11-28,0.1496
1997-12-01,0.1485
1997-12-02,0.1489
1997-12-03,0.1493
1997-12-04,0.1491
1997-12-05,0.1481
1997-12-09,0.1473
1997-12-10,0.1479
1997-12-11,0.1491
1997-12-12,0.1489
1997-12-15,0.1489
1997-12-16,0.148
1997-12-17,0.1491
1997-12-18,0.1484
1997-12-19,0.1492
1997-12-22,0.1483
1997-12-23,0.1486
1997-12-24,0.1488
1997-12-26,0.1487
1997-12-29,0.1477
1997-12-30,0.1474
1998-01-02,0.1464
1998-01-05,0.1456
1998-01-06,0.1441
1998-01-07,0.1448
1998-01-08,0.1449
1998-01-09,0.1453
1998-01-12,0.1451
1998-01-13,0.1449
1998-01-14,0.1449
1998-01-15,0.1443
1998-01-16,0.1442
1998-01-19,0.1438
1998-01-27,0.1551
1998-02-02,0.1451
1998-02-03,0.1453
1998-02-04,0.1464
1998-02-05,0.1477
1998-02-06,0.1464
1998-02-09,0.1452
1998-02-10,0.1456
1998-02-11,0.1451
1998-02-12,0.1458
1998-02-13,0.1449
1998-02-16,0.1452
1998-02-17,0.1444
1998-02-18,0.1448
1998-02-19,0.1447
1998-02-20,0.1446
1998-02-23,0.147
1998-02-24,0.1464
1998-02-25,0.1454
1998-02-26,0.1456
1998-02-27,0.1454
1998-03-02,0.1455
1998-03-03,0.1458
1998-03-04,0.1452
1998-03-05,0.1444
1998-03-06,0.1438
1998-03-09,0.1443
1998-03-10,0.1439
1998-03-11,0.144
1998-03-12,0.1444
1998-03-13,0.1454
1998-03-16,0.1448
1998-03-17,0.145
1998-03-18,0.1443
1998-03-19,0.1441
1998-03-20,0.144
1998-03-23,0.1443
1998-03-24,0.1443
1998-03-25,0.1442
1998-03-26,0.1447
1998-03-27,0.1444
1998-03-30,0.1428
1998-03-31,0.1426
1998-04-01,0.1423
1998-04-02,0.1424
1998-04-03,0.1424
1998-04-06,0.1431
1998-04-07,0.1433
1998-04-08,0.1453
1998-04-13,0.1446
1998-04-14,0.1462
1998-04-15,0.1463
1998-04-16,0.146
1998-04-17,0.1458
1998-04-20,0.1464
1998-04-21,0.1474
1998-04-22,0.147
1998-04-23,0.1465
1998-04-24,0.1471
1998-04-27,0.1472
1998-04-28,0.1469
1998-04-29,0.1468
1998-04-30,0.1468
1998-05-04,0.148
1998-05-05,0.1489
1998-05-06,0.1492
1998-05-07,0.1491
1998-05-08,0.1488
1998-05-11,0.1484
1998-05-12,0.1487
1998-05-13,0.1484
1998-05-14,0.1484
1998-05-15,0.1478
1998-05-18,0.1476
1998-05-19,0.1477
1998-05-20,0.149
1998-05-21,0.1502
1998-05-22,0.1501
1998-05-26,0.1491
1998-05-27,0.148
1998-05-28,0.1481
1998-05-29,0.1478
1998-06-01,0.1483
1998-06-02,0.1483
1998-06-03,0.149
1998-06-04,0.1495
1998-06-05,0.1487
1998-06-09,0.1482
1998-06-10,0.1482
1998-06-11,0.1461
1998-06-12,0.1463
1998-06-16,0.1468
1998-06-17,0.1478
1998-06-18,0.1469
1998-06-19,0.1477
1998-06-22,0.1471
1998-06-23,0.1464
1998-06-24,0.1465
1998-06-25,0.1469
1998-06-26,0.1456
1998-06-29,0.1455
1998-06-30,0.1463
1998-07-01,0.1452
1998-07-02,0.1449
1998-07-03,0.145
1998-07-07,0.1456
1998-07-08,0.1451
1998-07-10,0.1451
1998-07-13,0.1466
1998-07-14,0.1463
1998-07-15,0.1464
1998-07-16,0.1475
1998-07-17,0.1479
1998-07-20,0.1481
1998-07-21,0.1474
1998-07-22,0.1474
1998-07-23,0.1475
1998-07-24,0.1484
1998-07-27,0.1479
1998-07-28,0.1491
1998-07-29,0.1489
1998-07-30,0.1483
1998-07-31,0.1482
1998-08-03,0.1478
1998-08-04,0.1487
1998-08-05,0.1491
1998-08-06,0.149
1998-08-07,0.1481
1998-08-10,0.1483
1998-08-11,0.1481
1998-08-12,0.1489
1998-08-13,0.1478
1998-08-14,0.1464
1998-08-18,0.1468
1998-08-19,0.1468
1998-08-20,0.147
1998-08-21,0.1469
1998-08-24,0.1468
1998-08-25,0.1467
1998-08-26,0.1463
1998-08-27,0.1466
1998-08-28,0.1493
1998-08-31,0.15
1998-09-01,0.1509
1998-09-02,0.1506
1998-09-03,0.1527
1998-09-04,0.1526
1998-09-07,0.1524
1998-09-08,0.1527
1998-09-09,0.153
1998-09-10,0.1566
1998-09-11,0.1562
1998-09-14,0.1549
1998-09-15,0.1553
1998-09-16,0.1557
1998-09-17,0.1561
1998-09-18,0.1562
1998-09-21,0.1567
1998-09-22,0.1566
1998-09-23,0.1564
1998-09-24,0.1578
1998-09-25,0.1576
1998-09-28,0.1578
1998-09-29,0.1579
1998-09-30,0.1582
1998-10-01,0.1603
1998-10-02,0.1611
1998-10-05,0.1622
1998-10-06,0.162
1998-10-07,0.1634
1998-10-08,0.1648
1998-10-09,0.1613
1998-10-13,0.1615
1998-10-14,0.161
1998-10-15,0.1621
1998-10-16,0.1637
1998-10-19,0.1623
1998-10-20,0.1609
1998-10-21,0.1607
1998-10-22,0.1611
1998-10-23,0.1613
1998-10-26,0.1604
1998-10-27,0.1598
1998-10-28,0.1598
1998-10-29,0.1598
