,ZAR
1997-11-21,0.206185
1997-11-24,0.206697
1997-11-25,0.206697
1997-11-26,0.206697
1997-11-27,0.206697
1997-11-28,0.206697
1997-12-01,0.205719
1997-12-02,0.205719
1997-12-03,0.205719
1997-12-04,0.205719
1997-12-05,0.205719
1997-12-09,0.205381
1997-12-10,0.205381
1997-12-11,0.205381
1997-12-12,0.205381
1997-12-15,0.205381
1997-12-16,0.20452
1997-12-17,0.20452
1997-12-18,0.20452
1997-12-19,0.20452
1997-12-22,0.20452
1997-12-23,0.205867
1997-12-24,0.205867
1997-12-26,0.205867
1997-12-29,0.205867
1997-12-30,0.205867
1998-01-02,0.205867
1998-01-05,0.20377
1998-01-06,0.20377
1998-01-07,0.20377
1998-01-08,0.20377
1998-01-09,0.20377
1998-01-12,0.200763
1998-01-13,0.200763
1998-01-14,0.200763
1998-01-15,0.200763
1998-01-16,0.200763
1998-01-19,0.200763
1998-01-27,0.1657
1998-02-02,0.204207
1998-02-03,0.202799
1998-02-04,0.202799
1998-02-05,0.202799
1998-02-06,0.202799
1998-02-09,0.202799
1998-02-10,0.203438
1998-02-11,0.203438
1998-02-12,0.203438
1998-02-13,0.203438
1998-02-16,0.203438
1998-02-17,0.202573
1998-02-18,0.202573
1998-02-19,0.202573
1998-02-20,0.202573
1998-02-23,0.202265
1998-02-24,0.202265
1998-02-25,0.202265
1998-02-26,0.202265
1998-02-27,0.202265
1998-03-02,0.202757
1998-03-03,0.202757
1998-03-04,0.202757
1998-03-05,0.202757
1998-03-06,0.202757
1998-03-09,0.202757
1998-03-10,0.200743
1998-03-11,0.200743
1998-03-12,0.200743
1998-03-13,0.200743
1998-03-16,0.200743
1998-03-17,0.201248
1998-03-18,0.201248
1998-03-19,0.201248
1998-03-20,0.201248
1998-03-23,0.201248
1998-03-24,0.200872
1998-03-25,0.200872
1998-03-26,0.200872
1998-03-27,0.200872
1998-03-30,0.200872
1998-03-31,0.19861
1998-04-01,0.19861
1998-04-02,0.19861
1998-04-03,0.19861
1998-04-06,0.19861
1998-04-07,0.198491
1998-04-08,0.198491
1998-04-13,0.19861
1998-04-14,0.19861
1998-04-15,0.19861
1998-04-16,0.19861
1998-04-17,0.19861
1998-04-20,0.19861
1998-04-21,0.19861
1998-04-22,0.198
1998-04-23,0.198
1998-04-24,0.198
1998-04-27,0.198
1998-04-28,0.198098
1998-04-29,0.198098
1998-04-30,0.198098
1998-05-04,0.198098
1998-05-05,0.197511
1998-05-06,0.197511
1998-05-07,0.197511
1998-05-08,0.197511
1998-05-11,0.197511
1998-05-12,0.197511
1998-05-13,0.197511
1998-05-14,0.197511
1998-05-15,0.197511
1998-05-18,0.197511
1998-05-19,0.196194
1998-05-20,0.196194
1998-05-21,0.196194
1998-05-22,0.196194
1998-05-26,0.196194
1998-05-27,0.196194
1998-05-28,0.19408
1998-05-29,0.19408
1998-06-01,0.192049
1998-06-02,0.192049
1998-06-03,0.192049
1998-06-04,0.192049
1998-06-05,0.192049
1998-06-09,0.192049
1998-06-10,0.193836
1998-06-11,0.193836
1998-06-12,0.193836
1998-06-16,0.186272
1998-06-17,0.186272
1998-06-18,0.186272
