TIME_PERIOD,ipc
1922-04,2.91435
1922-05,2.91435
1922-06,2.91435
1922-07,2.91435
1922-08,2.91435
1922-09,2.91435
1922-10,2.810266
1922-11,2.810266
1922-12,2.810266
1923-01,2.810266
1923-02,2.810266
1923-03,2.810266
1923-04,2.91435
1923-05,2.91435
1923-06,2.91435
1923-07,3.018434
1923-08,3.018434
1923-09,3.018434
1923-10,3.018434
1923-11,3.018434
1923-12,3.018434
1924-01,2.91435
1924-02,2.91435
1924-03,2.91435
1924-04,2.91435
1924-05,2.91435
1924-06,2.91435
1924-07,2.91435
1924-08,2.91435
1924-09,2.91435
1924-10,2.91435
1924-11,2.91435
1924-12,2.91435
1925-01,2.91435
1925-02,2.91435
1925-03,2.91435
1925-04,2.91435
1925-05,2.91435
1925-06,2.91435
1925-07,2.91435
1925-08,2.91435
1925-09,2.91435
1925-10,2.91435
1925-11,2.91435
1925-12,2.91435
1926-01,2.91435
1926-02,2.91435
1926-03,2.91435
1926-04,3.018434
1926-05,3.018434
1926-06,3.018434
1926-07,3.018434
1926-08,3.018434
1926-09,3.018434
1926-10,2.91435
1926-11,2.91435
1926-12,2.91435
1927-01,2.91435
1927-02,2.91435
1927-03,2.91435
1927-04,2.91435
1927-05,2.91435
1927-06,2.91435
1927-07,2.91435
1927-08,2.91435
1927-09,2.91435
1927-10,3.018434
1927-11,3.018434
1927-12,3.018434
1928-01,3.018434
1928-02,3.018434
1928-03,3.018434
1928-04,3.018434
1928-05,3.018434
1928-06,3.018434
1928-07,3.018434
1928-08,3.018434
1928-09,3.018434
1928-10,3.018434
1928-11,3.018434
1928-12,3.018434
1929-01,3.018434
1929-02,3.018434
1929-03,3.018434
1929-04,3.018434
1929-05,3.018434
1929-06,3.018434
1929-07,3.018434
1929-08,3.018434
1929-09,3.018434
1929-10,3.018434
1929-11,3.018434
1929-12,3.018434
1930-01,2.91435
1930-02,2.91435
1930-03,2.91435
1930-04,2.91435
1930-05,2.91435
1930-06,2.91435
1930-07,2.810266
1930-08,2.810266
1930-09,2.810266
1930-10,2.706182
1930-11,2.706182
1930-12,2.706182
1931-01,2.706182
1931-02,2.706182
1931-03,2.706182
1931-04,2.602098
1931-05,2.602098
1931-06,2.602098
1931-07,2.498014
1931-08,2.498014
1931-09,2.498014
1931-10,2.498014
1931-11,2.498014
1931-12,2.498014
1932-01,2.498014
1932-02,2.498014
1932-03,2.498014
1932-04,2.498014
1932-05,2.498014
1932-06,2.498014
1932-07,2.39393
1932-08,2.39393
1932-09,2.39393
1932-10,2.39393
1932-11,2.39393
1932-12,2.39393
1933-01,2.39393
1933-02,2.39393
1933-03,2.39393
1933-04,2.39393
1933-05,2.39393
1933-06,2.39393
1933-07,2.39393
1933-08,2.39393
1933-09,2.39393
1933-10,2.39393
1933-11,2.39393
1933-12,2.39393
1934-01,2.39393
1934-02,2.39393
1934-03,2.39393
1934-04,2.39393
1934-05,2.39393
1934-06,2.39393
1934-07,2.39393
1934-08,2.39393
1934-09,2.39393
1934-10,2.39393
1934-11,2.39393
1934-12,2.39393
1935-01,2.39393
1935-02,2.39393
1935-03,2.39393
1935-04,2.39393
1935-05,2.39393
1935-06,2.39393
1935-07,2.498014
1935-08,2.498014
1935-09,2.498014
1935-10,2.498014
1935-11,2.498014
1935-12,2.498014
1936-01,2.498014
1936-02,2.498014
1936-03,2.498014
1936-04,2.498014
1936-05,2.498014
1936-06,2.498014
1936-07,2.498014
1936-08,2.498014
1936-09,2.498014
1936-10,2.498014
1936-11,2.498014
1936-12,2.498014
1937-01,2.498014
1937-02,2.498014
1937-03,2.498014
