TIME_PERIOD,ipc
1980-01,2.607169413e-10
1980-02,2.727627009e-10
1980-03,2.892337526e-10
1980-04,3.04540711e-10
1980-05,3.218978636e-10
1980-06,3.389943982e-10
1980-07,3.578110111e-10
1980-08,3.755156542e-10
1980-09,3.91395972e-10
1980-10,4.285079618e-10
1980-11,4.570890589e-10
1980-12,4.873033615e-10
1981-01,5.206277045e-10
1981-02,5.539520475e-10
1981-03,5.81490673e-10
1981-04,6.190544005e-10
1981-05,6.534733387e-10
1981-06,6.89542857e-10
1981-07,7.327011823e-10
1981-08,7.729927106e-10
1981-09,8.13649104e-10
1981-10,8.54983104e-10
1981-11,9.000352528e-10
1981-12,9.534098e-10
1982-01,1.019867366e-09
1982-02,1.087593273e-09
1982-03,1.149689833e-09
1982-04,1.217398365e-09
1982-05,1.298485283e-09
1982-06,1.390674524e-09
1982-07,1.479128241e-09
1982-08,1.567425588e-09
1982-09,1.647053045e-09
1982-10,1.72018243e-09
1982-11,1.811172828e-09
1982-12,1.952618854e-09
1983-01,2.121325512e-09
1983-02,2.288068848e-09
1983-03,2.456011027e-09
1983-04,2.617611504e-09
1983-05,2.787239012e-09
1983-06,3.062625266e-09
1983-07,3.371335864e-09
1983-08,3.678465379e-09
1983-09,4.057351692e-09
1983-10,4.417230272e-09
1983-11,4.743228524e-09
1983-12,5.154935318e-09
1984-01,5.6534105e-09
1984-02,6.190491882e-09
1984-03,6.743922693e-09
1984-04,7.387301432e-09
1984-05,8.05585586e-09
1984-06,8.867889133e-09
1984-07,9.729839423e-09
1984-08,1.063958704e-08
1984-09,1.188973638e-08
1984-10,1.313102472e-08
1984-11,1.451372434e-08
1984-12,1.625246276e-08
1985-01,1.816374762e-08
1985-02,2.013815413e-08
1985-03,2.218419581e-08
1985-04,2.400329143e-08
1985-05,2.573153564e-08
1985-06,2.791613918e-08
1985-07,3.079429909e-08
1985-08,3.450501159e-08
1985-09,3.834196741e-08
1985-10,4.241387895e-08
1985-11,4.833909655e-08
1985-12,5.56238014e-08
1986-01,6.361693522e-08
1986-02,7.170901697e-08
1986-03,7.512954012e-08
1986-04,7.571554817e-08
1986-05,7.677556807e-08
1986-06,7.775060915e-08
1986-07,7.908014272e-08
1986-08,8.188748406e-08
1986-09,8.32959501e-08
1986-10,8.487857839e-08
1986-11,8.950445936e-08
1986-12,9.993172968e-08
1987-01,1.131e-07
1987-02,1.274e-07
1987-03,1.483e-07
1987-04,1.766e-07
1987-05,2.145e-07
1987-06,2.568e-07
1987-07,2.804e-07
1987-08,2.941e-07
1987-09,3.17e-07
1987-10,3.525e-07
1987-11,4.057e-07
1987-12,4.631e-07
1988-01,5.506e-07
1988-02,6.37e-07
1988-03,7.491e-07
1988-04,8.936e-07
1988-05,1.0493e-06
1988-06,1.2802e-06
1988-07,1.5606e-06
1988-08,1.8976e-06
1988-09,2.4185e-06
1988-10,3.0381e-06
1988-11,3.8869e-06
1988-12,5.0025e-06
1989-01,6.8779e-06
1989-02,8.032e-06
1989-03,8.5798e-06
1989-04,9.2945e-06
1989-05,1.09601e-05
1989-06,1.41001e-05
1989-07,1.80115e-05
1989-08,2.40832e-05
1989-09,3.31288e-05
1989-10,4.63041e-05
1989-11,6.84468e-05
1989-12,0.0001036969
1990-01,0.0001737453
1990-02,0.0003053226
1990-03,0.000556871
1990-04,0.0006432919
1990-05,0.0006921143
1990-06,0.0007734444
1990-07,0.0008733654
1990-08,0.000985848
1990-09,0.0011279022
1990-10,0.0012898675
1990-11,0.0015067016
1990-12,0.0017845377
1991-01,0.0021548236
1991-02,0.0026012968
1991-03,0.00291138
1991-04,0.0030566658
1991-05,0.0032837682
1991-06,0.0036512221
1991-07,0.0041043324
1991-08,0.0047458347
1991-09,0.0054876054
1991-10,0.0065977508
1991-11,0.008261049
1991-12,0.010219749
