TIME_PERIOD,ipc
1928-03,4e-07
1928-04,5e-07
1928-05,5e-07
1928-06,5e-07
1928-07,5e-07
1928-08,5e-07
1928-09,5e-07
1928-10,5e-07
1928-11,5e-07
1928-12,5e-07
1929-01,5e-07
1929-02,5e-07
1929-03,5e-07
1929-04,5e-07
1929-05,5e-07
1929-06,5e-07
1929-07,5e-07
1929-08,5e-07
1929-09,5e-07
1929-10,5e-07
1929-11,5e-07
1929-12,5e-07
1930-01,5e-07
1930-02,5e-07
1930-03,5e-07
1930-04,5e-07
1930-05,5e-07
1930-06,5e-07
1930-07,5e-07
1930-08,5e-07
1930-09,5e-07
1930-10,5e-07
1930-11,5e-07
1930-12,5e-07
1931-01,5e-07
1931-02,5e-07
1931-03,5e-07
1931-04,5e-07
1931-05,5e-07
1931-06,5e-07
1931-07,5e-07
1931-08,5e-07
1931-09,5e-07
1931-10,5e-07
1931-11,5e-07
1931-12,5e-07
1932-01,4e-07
1932-02,4e-07
1932-03,5e-07
1932-04,5e-07
1932-05,5e-07
1932-06,5e-07
1932-07,5e-07
1932-08,5e-07
1932-09,6e-07
1932-10,6e-07
1932-11,6e-07
1932-12,6e-07
1933-01,6e-07
1933-02,6e-07
1933-03,6e-07
1933-04,6e-07
1933-05,6e-07
1933-06,6e-07
1933-07,6e-07
1933-08,7e-07
1933-09,7e-07
1933-10,7e-07
1933-11,6e-07
1933-12,6e-07
1934-01,6e-07
1934-02,6e-07
1934-03,6e-07
1934-04,6e-07
1934-05,6e-07
1934-06,6e-07
1934-07,6e-07
1934-08,6e-07
1934-09,7e-07
1934-10,6e-07
1934-11,7e-07
1934-12,7e-07
1935-01,7e-07
1935-02,6e-07
1935-03,6e-07
1935-04,6e-07
1935-05,6e-07
1935-06,6e-07
1935-07,7e-07
1935-08,6e-07
1935-09,7e-07
1935-10,7e-07
1935-11,7e-07
1935-12,7e-07
1936-01,7e-07
1936-02,7e-07
1936-03,7e-07
1936-04,7e-07
1936-05,7e-07
1936-06,7e-07
1936-07,7e-07
1936-08,7e-07
1936-09,7e-07
1936-10,7e-07
1936-11,7e-07
1936-12,7e-07
1937-01,7e-07
1937-02,7e-07
1937-03,7e-07
1937-04,8e-07
1937-05,8e-07
1937-06,8e-07
1937-07,8e-07
1937-08,8e-07
1937-09,8e-07
1937-10,8e-07
1937-11,8e-07
1937-12,8e-07
1938-01,8e-07
1938-02,8e-07
1938-03,8e-07
1938-04,8e-07
1938-05,8e-07
1938-06,8e-07
1938-07,8e-07
1938-08,8e-07
1938-09,8e-07
1938-10,8e-07
1938-11,8e-07
1938-12,8e-07
1939-01,8e-07
1939-02,8e-07
1939-03,8e-07
1939-04,8e-07
1939-05,8e-07
1939-06,8e-07
1939-07,8e-07
1939-08,8e-07
1939-09,8e-07
1939-10,9e-07
1939-11,9e-07
1939-12,9e-07
1940-01,9e-07
1940-02,9e-07
1940-03,9e-07
1940-04,9e-07
1940-05,9e-07
1940-06,1e-06
1940-07,9e-07
1940-08,1e-06
1940-09,1e-06
1940-10,1e-06
1940-11,1e-06
1940-12,1e-06
1941-01,1e-06
1941-02,1e-06
1941-03,1e-06
1941-04,1e-06
1941-05,1.1e-06
1941-06,1.1e-06
1941-07,1.1e-06
1941-08,1.1e-06
1941-09,1.2e-06
1941-10,1.2e-06
1941-11,1.2e-06
1941-12,1.2e-06
1942-01,1.2e-06
1942-02,1.2e-06
1942-03,1.3e-06
1942-04,1.3e-06
1942-05,1.4e-06
1942-06,1.3e-06
1942-07,1.4e-06
1942-08,1.4e-06
1942-09,1.4e-06
1942-10,1.5e-06
1942-11,1.5e-06
1942-12,1.5e-06
1943-01,1.5e-06
1943-02,1.5e-06
1943-03,1.5e-06
1943-04,1.6e-06
1943-05,1.6e-06
1943-06,1.6e-06
1943-07,1.6e-06
1943-08,1.6e-06
1943-09,1.6e-06
1943-10,1.6e-06
1943-11,1.6e-06
1943-12,1.6e-06
1944-01,1.6e-06
1944-02,1.6e-06
1944-03,1.6e-06
1944-04,1.7e-06
1944-05,1.8e-06
1944-06,1.7e-06
1944-07,1.7e-06
1944-08,1.8e-06
1944-09,1.9e-06
1944-10,2e-06
1944-11,2e-06
1944-12,1.8e-06
1945-01,1.8e-06
1945-02,1.8e-06
1945-03,1.9e-06
1945-04,1.9e-06
1945-05,1.9e-06
1945-06,1.9e-06
1945-07,1.9e-06
1945-08,1.9e-06
1945-09,2e-06
1945-10,2.1e-06
1945-11,2e-06
1945-12,2e-06
1946-01,2e-06
1946-02,2e-06
1946-03,2e-06
1946-04,2.1e-06
1946-05,2.1e-06
1946-06,2.2e-06
1946-07,2.2e-06
1946-08,2.3e-06
1946-09,2.4e-06
1946-10,2.5e-06
1946-11,2.5e-06
1946-12,2.6e-06
1947-01,2.7e-06
1947-02,2.7e-06
1947-03,2.8e-06
1947-04,2.9e-06
1947-05,3e-06
1947-06,3e-06
1947-07,3e-06
1947-08,3.1e-06
1947-09,3.1e-06
1947-10,3.1e-06
1947-11,3.2e-06
1947-12,3.2e-06
1948-01,3.2e-06
1948-02,3.3e-06
1948-03,3.4e-06
1948-04,3.4e-06
1948-05,3.4e-06
