TIME_PERIOD,ipc
1954-01,0.0364
1954-02,0.0362
1954-03,0.0357
1954-04,0.0359
1954-05,0.036
1954-06,0.0362
1954-07,0.0364
1954-08,0.0362
1954-09,0.0357
1954-10,0.0358
1954-11,0.0359
1954-12,0.0361
1955-01,0.036
1955-02,0.036
1955-03,0.0361
1955-04,0.0364
1955-05,0.0362
1955-06,0.0362
1955-07,0.0361
1955-08,0.0362
1955-09,0.036
1955-10,0.0361
1955-11,0.0364
1955-12,0.0368
1956-01,0.0368
1956-02,0.0369
1956-03,0.0372
1956-04,0.0375
1956-05,0.0378
1956-06,0.0381
1956-07,0.0384
1956-08,0.0382
1956-09,0.0386
1956-10,0.0391
1956-11,0.0396
1956-12,0.0397
1957-01,0.0402
1957-02,0.0407
1957-03,0.0414
1957-04,0.0424
1957-05,0.0429
1957-06,0.0447
1957-07,0.0459
1957-08,0.0464
1957-09,0.0466
1957-10,0.0473
1957-11,0.0475
1957-12,0.0479
1958-01,0.048
1958-02,0.0481
1958-03,0.0488
1958-04,0.0497
1958-05,0.0506
1958-06,0.0509
1958-07,0.0509
1958-08,0.0513
1958-09,0.0514
1958-10,0.0515
1958-11,0.0515
1958-12,0.0518
1959-01,0.0526
1959-02,0.053
1959-03,0.0533
1959-04,0.0541
1959-05,0.0545
1959-06,0.0549
1959-07,0.0552
1959-08,0.0553
1959-09,0.0551
1959-10,0.0552
1959-11,0.0553
1959-12,0.0558
1960-01,0.056
1960-02,0.0558
1960-03,0.0565
1960-04,0.0571
1960-05,0.0575
1960-06,0.0576
1960-07,0.0578
1960-08,0.058
1960-09,0.0582
1960-10,0.0586
1960-11,0.0593
1960-12,0.0599
1961-01,0.0602
1961-02,0.0605
1961-03,0.0615
1961-04,0.0627
1961-05,0.0634
1961-06,0.0635
1961-07,0.0636
1961-08,0.0629
1961-09,0.0625
1961-10,0.0626
1961-11,0.0629
1961-12,0.0633
1962-01,0.0636
1962-02,0.0637
1962-03,0.0642
1962-04,0.065
1962-05,0.0651
1962-06,0.0651
1962-07,0.0657
1962-08,0.0658
1962-09,0.0662
1962-10,0.0664
1962-11,0.0668
1962-12,0.0673
1963-01,0.0698
1963-02,0.0741
1963-03,0.0779
1963-04,0.0813
1963-05,0.0823
1963-06,0.0841
1963-07,0.0848
1963-08,0.085
1963-09,0.0859
1963-10,0.0873
1963-11,0.0891
1963-12,0.0899
1964-01,0.0913
1964-02,0.0918
1964-03,0.0939
1964-04,0.0961
1964-05,0.0991
1964-06,0.1006
1964-07,0.0998
1964-08,0.0983
1964-09,0.0976
1964-10,0.0969
1964-11,0.0977
1964-12,0.0979
1965-01,0.0992
1965-02,0.0983
1965-03,0.0997
1965-04,0.1014
1965-05,0.1027
1965-06,0.1042
1965-07,0.1043
1965-08,0.1045
1965-09,0.1055
1965-10,0.1078
1965-11,0.1093
1965-12,0.112
1966-01,0.1134
1966-02,0.1149
1966-03,0.1177
1966-04,0.1212
1966-05,0.1226
1966-06,0.1226
1966-07,0.1227
1966-08,0.1224
1966-09,0.1237
1966-10,0.125
1966-11,0.1254
1966-12,0.1264
1967-01,0.1271
1967-02,0.1276
1967-03,0.129
1967-04,0.1295
1967-05,0.1304
1967-06,0.1326
1967-07,0.1328
1967-08,0.1326
1967-09,0.1331
1967-10,0.1341
1967-11,0.1349
1967-12,0.1355
1968-01,0.1368
1968-02,0.1368
1968-03,0.1382
1968-04,0.1405
1968-05,0.1414
1968-06,0.142
1968-07,0.1431
1968-08,0.1428
1968-09,0.143
1968-10,0.1435
1968-11,0.1445
1968-12,0.1443
1969-01,0.146
1969-02,0.1456
1969-03,0.1468
1969-04,0.1492
1969-05,0.1505
1969-06,0.1513
1969-07,0.1519
1969-08,0.1525
1969-09,0.1535
1969-10,0.1555
1969-11,0.1559
1969-12,0.1567
1970-01,0.1567
1970-02,0.1568
1970-03,0.1581
1970-04,0.1603
1970-05,0.1611
1970-06,0.1628
1970-07,0.1632
1970-08,0.1623
1970-09,0.1635
1970-10,0.1636
1970-11,0.1654
