TIME_PERIOD,ipc
1990-01,20.9599
1990-02,21.0766
1990-03,20.9599
1990-04,21.0766
1990-05,21.0766
1990-06,21.1767
1990-07,22.7941
1990-08,23.2276
1990-09,23.3277
1990-10,23.4444
1990-11,24.078
1990-12,24.078
1991-01,30.5311
1991-02,32.5821
1991-03,33.7659
1991-04,34.7331
1991-05,35.3667
1991-06,36.1171
1991-07,35.9003
1991-08,35.8002
1991-09,35.7002
1991-10,35.5835
1991-11,36.2338
1991-12,36.6673
1992-01,37.2009
1992-02,37.5177
1992-03,37.6344
1992-04,37.8512
1992-05,38.0513
1992-06,38.3848
1992-07,38.6016
1992-08,38.7016
1992-09,39.2352
1992-10,39.8855
1992-11,40.8526
1992-12,41.2862
1993-01,44.9379
1993-02,45.5882
1993-03,45.905
1993-04,46.1218
1993-05,46.3385
1993-06,46.7721
1993-07,46.7721
1993-08,46.8721
1993-09,47.4057
1993-10,47.7392
1993-11,48.1561
1993-12,48.7063
1994-01,49.8902
1994-02,49.9903
1994-03,50.107
1994-04,50.4238
1994-05,50.4238
1994-06,51.1742
1994-07,51.3909
1994-08,51.6077
1994-09,52.258
1994-10,52.7916
1994-11,53.3252
1994-12,53.642
1995-01,54.3924
1995-02,54.9426
1995-03,54.9426
1995-04,55.4762
1995-05,55.693
1995-06,56.3433
1995-07,56.3433
1995-08,56.3433
1995-09,56.7601
1995-10,57.1937
1995-11,57.6272
1995-12,57.844
1996-01,59.2446
1996-02,59.5615
1996-03,59.8783
1996-04,60.2118
1996-05,60.4285
1996-06,60.9621
1996-07,61.5958
1996-08,61.7125
1996-09,61.8125
1996-10,62.146
1996-11,62.4628
1996-12,62.8964
1997-01,63.6467
1997-02,63.8635
1997-03,63.9635
1997-04,64.3971
1997-05,64.5138
1997-06,65.1474
1997-07,67.4152
1997-08,67.832
1997-09,68.2656
1997-10,68.6991
1997-11,68.9159
1997-12,69.2327
1998-01,71.9173
1998-02,72.3508
1998-03,72.5676
1998-04,72.7844
1998-05,72.7844
1998-06,73.1012
1998-07,74.5018
1998-08,74.2851
1998-09,74.4018
1998-10,74.2851
1998-11,74.0683
1998-12,73.9683
1999-01,74.5018
1999-02,74.5018
1999-03,74.5018
1999-04,74.6186
1999-05,74.6186
1999-06,74.6186
1999-07,75.2522
1999-08,75.3689
1999-09,75.2522
1999-10,75.3689
1999-11,75.5857
1999-12,75.6857
2000-01,76.9697
2000-02,77.1864
2000-03,77.1864
2000-04,77.0864
2000-05,77.1864
2000-06,77.7367
2000-07,78.1536
2000-08,78.2703
2000-09,78.2703
2000-10,78.4871
2000-11,78.5871
2000-12,78.7038
2001-01,80.2045
2001-02,80.2045
2001-03,80.3046
2001-04,80.5214
2001-05,81.0549
2001-06,81.922
2001-07,82.7891
2001-08,82.6724
2001-09,81.922
2001-10,81.922
2001-11,81.922
2001-12,81.922
2002-01,83.3227
2002-02,83.3227
2002-03,83.3227
2002-04,83.3227
2002-05,83.206
2002-06,82.8891
2002-07,83.3227
2002-08,83.206
2002-09,82.7891
2002-10,82.4556
2002-11,82.3556
2002-12,82.4556
2003-01,82.8891
2003-02,83.1059
2003-03,82.9892
2003-04,83.206
2003-05,83.206
2003-06,83.206
2003-07,83.3227
2003-08,83.1059
2003-09,82.7891
2003-10,82.7891
2003-11,83.206
2003-12,83.3227
2004-01,84.8234
2004-02,85.0402
2004-03,85.0402
2004-04,85.0402
2004-05,85.4737
2004-06,85.5737
2004-07,85.9072
2004-08,85.9072
2004-09,85.1402
2004-10,85.5737
2004-11,85.5737
2004-12,85.5737
2005-01,86.2241
2005-02,86.4408
2005-03,86.3241
2005-04,86.4408
2005-05,86.5409
