TIME_PERIOD,ipc
1923-01,3.571582
1923-02,3.571582
1923-03,3.571582
1923-04,3.627505
1923-05,3.627505
1923-06,3.627505
1923-07,3.713252
1923-08,3.713252
1923-09,3.713252
1923-10,3.776631
1923-11,3.776631
1923-12,3.776631
1924-01,3.772903
1924-02,3.772903
1924-03,3.772903
1924-04,3.817641
1924-05,3.817641
1924-06,3.817641
1924-07,3.895932
1924-08,3.895932
1924-09,3.895932
1924-10,3.977952
1924-11,3.977952
1924-12,3.977952
1925-01,3.989137
1925-02,3.989137
1925-03,3.989137
1925-04,3.970496
1925-05,3.970496
1925-06,3.970496
1925-07,3.989137
1925-08,3.989137
1925-09,3.989137
1925-10,3.769175
1925-11,3.769175
1925-12,3.769175
1926-01,3.500747
1926-02,3.500747
1926-03,3.500747
1926-04,3.411271
1926-05,3.411271
1926-06,3.411271
1926-07,3.35162
1926-08,3.35162
1926-09,3.35162
1926-10,3.336708
1926-11,3.336708
1926-12,3.336708
1927-01,3.265873
1927-02,3.265873
1927-03,3.265873
1927-04,3.213678
1927-05,3.213678
1927-06,3.213678
1927-07,3.206222
1927-08,3.206222
1927-09,3.206222
1927-10,3.217406
1927-11,3.217406
1927-12,3.217406
1928-01,3.176397
1928-02,3.176397
1928-03,3.176397
1928-04,3.176397
1928-05,3.176397
1928-06,3.176397
1928-07,3.206222
1928-08,3.206222
1928-09,3.206222
1928-10,3.146571
1928-11,3.146571
1928-12,3.146571
1929-01,3.120474
1929-02,3.120474
1929-03,3.120474
1929-04,3.139115
1929-05,3.139115
1929-06,3.139115
1929-07,3.150299
1929-08,3.150299
1929-09,3.150299
1929-10,3.146571
1929-11,3.146571
1929-12,3.146571
1930-01,3.06828
1930-02,3.06828
1930-03,3.06828
1930-04,3.016086
1930-05,3.016086
1930-06,3.016086
1930-07,3.004901
1930-08,3.004901
1930-09,3.004901
1930-10,2.963891
1930-11,2.963891
1930-12,2.963891
1931-01,2.870687
1931-02,2.870687
1931-03,2.870687
1931-04,2.833405
1931-05,2.833405
1931-06,2.833405
1931-07,2.80358
1931-08,2.80358
1931-09,2.80358
1931-10,2.814765
1931-11,2.814765
1931-12,2.814765
