TIME_PERIOD,ipc
1951-09,0.000318
1951-10,0.00033
1951-11,0.00033
1951-12,0.000342
1952-01,0.000355
1952-02,0.000379
1952-03,0.000416
1952-04,0.000452
1952-05,0.000477
1952-06,0.000501
1952-07,0.000514
1952-08,0.000526
1952-09,0.000538
1952-10,0.00055
1952-11,0.00055
1952-12,0.000562
1953-01,0.000575
1953-02,0.000575
1953-03,0.000587
1953-04,0.000587
1953-05,0.000599
1953-06,0.000624
1953-07,0.000636
1953-08,0.000636
1953-09,0.000648
1953-10,0.000648
1953-11,0.00066
1953-12,0.000672
1954-01,0.000672
1954-02,0.000685
1954-03,0.000685
1954-04,0.000685
1954-05,0.000685
1954-06,0.000672
1954-07,0.000685
1954-08,0.000697
1954-09,0.000721
1954-10,0.000721
1954-11,0.000721
1954-12,0.000721
1955-01,0.000721
1955-02,0.000721
1955-03,0.000721
1955-04,0.000721
1955-05,0.000721
1955-06,0.000734
1955-07,0.000734
1955-08,0.000734
1955-09,0.000758
1955-10,0.000746
1955-11,0.000746
1955-12,0.000758
1956-01,0.000746
1956-02,0.000758
1956-03,0.00077
1956-04,0.000782
1956-05,0.000782
1956-06,0.000782
1956-07,0.00077
1956-08,0.000782
1956-09,0.000819
1956-10,0.000819
1956-11,0.000782
1956-12,0.000795
1957-01,0.000807
1957-02,0.000819
1957-03,0.000819
1957-04,0.000831
1957-05,0.000856
1957-06,0.000819
1957-07,0.000831
1957-08,0.000844
1957-09,0.000844
1957-10,0.000844
1957-11,0.000844
1957-12,0.000831
1958-01,0.000844
1958-02,0.000844
1958-03,0.000844
1958-04,0.000856
1958-05,0.000868
1958-06,0.000844
1958-07,0.000868
1958-08,0.000868
1958-09,0.00088
1958-10,0.00088
1958-11,0.000868
1958-12,0.000868
1959-01,0.000868
1959-02,0.00088
1959-03,0.00088
1959-04,0.000868
1959-05,0.000905
1959-06,0.000868
1959-07,0.000856
1959-08,0.000856
1959-09,0.000868
1959-10,0.00088
1959-11,0.000893
1959-12,0.00088
1960-01,0.00088
1960-02,0.00088
1960-03,0.000893
1960-04,0.00088
1960-05,0.000893
1960-06,0.00088
1960-07,0.00088
1960-08,0.00088
1960-09,0.000905
1960-10,0.000929
1960-11,0.000917
1960-12,0.000917
1961-01,0.000929
1961-02,0.000929
1961-03,0.000929
1961-04,0.000929
1961-05,0.00099
1961-06,0.000954
1961-07,0.000941
1961-08,0.000929
1961-09,0.000966
1961-10,0.000978
1961-11,0.000978
1961-12,0.00099
1962-01,0.001003
1962-02,0.001003
1962-03,0.001027
1962-04,0.001051
1962-05,0.001039
1962-06,0.001027
1962-07,0.001027
1962-08,0.001039
1962-09,0.001064
1962-10,0.001076
1962-11,0.001088
1962-12,0.0011
1963-01,0.0011
1963-02,0.0011
1963-03,0.0011
1963-04,0.001088
1963-05,0.001125
1963-06,0.001113
1963-07,0.001113
1963-08,0.0011
1963-09,0.001113
1963-10,0.001125
1963-11,0.001149
1963-12,0.001149
1964-01,0.001162
1964-02,0.001162
1964-03,0.001162
1964-04,0.001149
1964-05,0.001186
1964-06,0.001149
1964-07,0.001174
1964-08,0.001162
1964-09,0.001174
1964-10,0.001186
1964-11,0.001186
1964-12,0.001198
1965-01,0.00121
1965-02,0.001223
1965-03,0.001247
1965-04,0.001259
1965-05,0.001284
1965-06,0.001272
1965-07,0.001272
1965-08,0.001247
1965-09,0.001272
1965-10,0.001284
1965-11,0.001284
1965-12,0.001284
1966-01,0.001308
1966-02,0.00132
1966-03,0.001345
1966-04,0.001369
1966-05,0.001369
1966-06,0.001369
1966-07,0.001369
1966-08,0.001357
1966-09,0.001382
1966-10,0.001382
1966-11,0.001382
1966-12,0.001394
1967-01,0.001394
1967-02,0.001382
1967-03,0.001382
1967-04,0.001406
1967-05,0.001406
1967-06,0.001394
1967-07,0.001382
1967-08,0.001369
1967-09,0.001369
1967-10,0.001382
1967-11,0.001382
1967-12,0.001394
1968-01,0.001406
1968-02,0.001406
1968-03,0.001418
1968-04,0.00143
1968-05,0.00143
1968-06,0.001406
1968-07,0.001418
1968-08,0.001406
1968-09,0.001406
1968-10,0.001418
1968-11,0.001418
1968-12,0.001418
1969-01,0.00143
1969-02,0.001418
1969-03,0.001443
1969-04,0.001455
1969-05,0.001443
1969-06,0.001455
1969-07,0.001455
1969-08,0.00143
1969-09,0.001443
1969-10,0.001455
1969-11,0.001467
1969-12,0.001479
1970-01,0.001467
1970-02,0.001479
1970-03,0.001492
1970-04,0.001504
1970-05,0.001516
1970-06,0.001516
1970-07,0.001516
1970-08,0.001516
1970-09,0.001577
1970-10,0.001614
1970-11,0.001614
1970-12,0.001626
1971-01,0.001651
1971-02,0.001651
1971-03,0.001675
1971-04,0.001687
1971-05,0.001699
1971-06,0.001699
1971-07,0.001687
1971-08,0.001699
1971-09,0.001748
1971-10,0.001785
1971-11,0.001822
1971-12,0.001846
1972-01,0.001871
1972-02,0.001858
1972-03,0.001895
1972-04,0.00192
1972-05,0.001932
1972-06,0.001907
1972-07,0.00192
1972-08,0.001932
1972-09,0.001956
1972-10,0.002005
1972-11,0.002042
1972-12,0.002066
1973-01,0.002103
1973-02,0.002127
1973-03,0.002176
1973-04,0.002262
1973-05,0.002299
1973-06,0.002299
1973-07,0.002347
1973-08,0.00236
1973-09,0.002396
1973-10,0.002445
1973-11,0.002543
1973-12,0.002616
1974-01,0.002702
1974-02,0.002922
1974-03,0.003008
1974-04,0.003081
1974-05,0.003167
1974-06,0.003179
1974-07,0.003216
1974-08,0.00324
1974-09,0.003301
1974-10,0.003387
1974-11,0.003778
1974-12,0.004084
1975-01,0.004157
1975-02,0.00423
1975-03,0.004328
1975-04,0.004402
1975-05,0.004463
1975-06,0.00445
1975-07,0.004463
1975-08,0.004475
1975-09,0.00456
1975-10,0.004854
1975-11,0.005001
1975-12,0.00505
1976-01,0.005111
1976-02,0.005147
1976-03,0.005331
1976-04,0.005636
1976-05,0.005759
1976-06,0.005771
1976-07,0.006064
1976-08,0.006138
1976-09,0.006284
1976-10,0.006492
1976-11,0.006773
1976-12,0.006957
1977-01,0.006945
1977-02,0.007006
1977-03,0.007152
1977-04,0.007324
1977-05,0.007495
1977-06,0.007666
1977-07,0.007788
1977-08,0.008094
1977-09,0.0084
1977-10,0.008705
1977-11,0.009732
1977-12,0.009928
1978-01,0.010148
1978-02,0.010307
1978-03,0.010686
1978-04,0.011285
1978-05,0.011493
1978-06,0.011713
1978-07,0.011994
1978-08,0.012288
1978-09,0.012654
1978-10,0.013376
1978-11,0.014207
1978-12,0.014696
1979-01,0.01543
1979-02,0.015797
1979-03,0.016689
1979-04,0.018132
1979-05,0.019
1979-06,0.019672
1979-07,0.020761
1979-08,0.022497
1979-09,0.024294
1979-10,0.026201
1979-11,0.028744
1979-12,0.03108
1980-01,0.033354
1980-02,0.034992
1980-03,0.036777
1980-04,0.040531
1980-05,0.04437
1980-06,0.046412
1980-07,0.048453
1980-08,0.052439
1980-09,0.056254
1980-10,0.06244
1980-11,0.068297
1980-12,0.072381
1981-01,0.077675
1981-02,0.081954
1981-03,0.085879
1981-04,0.095024
1981-05,0.098215
1981-06,0.100893
1981-07,0.107018
1981-08,0.111187
1981-09,0.120235
1981-10,0.13108
1981-11,0.138685
1981-12,0.145849
1982-01,0.157978
1982-02,0.166989
1982-03,0.175437
1982-04,0.194132
1982-05,0.206223
1982-06,0.218646
1982-07,0.238795
1982-08,0.257587
1982-09,0.277125
1982-10,0.300404
1982-11,0.319893
1982-12,0.337646
1983-01,0.366292
1983-02,0.38852
1983-03,0.410442
1983-04,0.464898
1983-05,0.490562
1983-06,0.508204
1983-07,0.539981
1983-08,0.578678
1983-09,0.630689
1983-10,0.763554
1983-11,0.879424
1983-12,0.981515
1984-01,1.127951
1984-02,1.262967
1984-03,1.397678
1984-04,1.685599
1984-05,1.92657
1984-06,2.183863
1984-07,2.453579
1984-08,2.857761
1984-09,3.468459
1984-10,4.312622
1984-11,5.155391
1984-12,5.348031
1985-01,5.629092
1985-02,6.38992
1985-03,7.160687
1985-04,8.548071
1985-05,9.129866
1985-06,10.492394
1985-07,13.376551
1985-08,13.898694
1985-09,14.321362
1985-10,14.987703
1985-11,15.057321
1985-12,15.251257
1986-01,15.04639
1986-02,15.292509
1986-03,15.527427
1986-04,16.042026
1986-05,16.299332
1986-06,16.567812
1986-07,16.567812
1986-08,16.746808
1986-09,17.071224
1986-10,17.473951
1986-11,17.977363
1986-12,18.245855
1987-01,18.637395
1987-02,18.816378
1987-03,19.062496
1987-04,19.487598
1987-05,19.610657
1987-06,19.800827
1987-07,19.845576
1987-08,20.091694
1987-09,20.281864
1987-10,20.595106
1987-11,20.919522
1987-12,21.188003
1988-01,21.529793
1988-02,21.708544
1988-03,22.066045
1988-04,22.661889
1988-05,22.939943
1988-06,22.999534
1988-07,23.01939
1988-08,23.198153
1988-09,23.595378
1988-10,24.151498
1988-11,24.548723
1988-12,24.667894
1989-01,25.819858
1989-02,26.256806
1989-03,26.375977
1989-04,27.051269
1989-05,27.289599
1989-06,27.627244
1989-07,27.786139
1989-08,28.123785
1989-09,28.560733
1989-10,29.07713
1989-11,29.454499
1989-12,29.772276
1990-01,30.090066
1990-02,30.248949
1990-03,30.626318
1990-04,31.400912
1990-05,31.897453
1990-06,32.135795
1990-07,32.652191
1990-08,33.168587
1990-09,33.863734
1990-10,34.43971
1990-11,34.876671
1990-12,35.015698
1991-01,35.472514
1991-02,35.690989
1991-03,36.127938
1991-04,36.922388
1991-05,37.617547
1991-06,38.352417
1991-07,39.504381
1991-08,40.318699
1991-09,40.954266
1991-10,41.133017
1991-11,41.192596
1991-12,41.331635
1992-01,41.331635
1992-02,41.748716
1992-03,42.364428
1992-04,43.119154
1992-05,42.960271
1992-06,43.019851
1992-07,43.317772
1992-08,43.655418
1992-09,44.231614
1992-10,44.450467
1992-11,44.728007
1992-12,45.204839
1993-01,45.780704
1993-02,46.337008
1993-03,46.932436
1993-04,47.587773
1993-05,47.727155
1993-06,47.845751
1993-07,47.905661
1993-08,48.36293
1993-09,48.839761
1993-10,49.534223
1993-11,49.912021
1993-12,50.288595
1994-01,50.633381
1994-02,50.921925
1994-03,51.450107
1994-04,52.460012
1994-05,53.084783
1994-06,53.806144
1994-07,54.383232
1994-08,54.96032
1994-09,55.585091
1994-10,56.355358
1994-11,57.076718
1994-12,57.557217
1995-01,57.653806
1995-02,57.749172
1995-03,57.701489
1995-04,58.230894
1995-05,58.80676
1995-06,58.999938
1995-07,59.14421
1995-08,59.86557
1995-09,60.442658
1995-10,61.06743
1995-11,61.500246
1995-12,62.221606
1996-01,62.749789
1996-02,63.326877
1996-03,63.952871
1996-04,65.010459
1996-05,66.115729
1996-06,66.597451
1996-07,66.789407
1996-08,67.030268
1996-09,67.318812
1996-10,67.846994
1996-11,68.27981
