TIME_PERIOD,ipc
1965-01,2.88633
1965-02,2.950007
1965-03,2.955796
1965-04,3.002107
1965-05,3.062311
1965-06,3.034525
1965-07,3.072731
1965-08,3.105149
1965-09,3.08894
1965-10,3.070416
1965-11,3.018316
1965-12,3.027578
1966-01,3.100518
1966-02,3.188509
1966-03,3.239451
1966-04,3.273026
1966-05,3.36449
1966-06,3.369121
1966-07,3.35407
1966-08,3.423537
1966-09,3.487214
1966-10,3.577521
1966-11,3.487214
1966-12,3.48953
1967-01,3.509212
1967-02,3.558996
1967-03,3.608781
1967-04,3.706034
1967-05,3.741925
1967-06,3.700245
1967-07,3.706034
1967-08,3.751187
1967-09,3.811391
1967-10,3.871595
1967-11,3.895908
1967-12,3.892435
1968-01,3.968848
1968-02,4.03021
1968-03,4.070732
1968-04,4.068417
1968-05,4.076521
1968-06,4.09273
1968-07,4.090414
1968-08,4.115885
1968-09,4.136725
1968-10,4.249029
1968-11,4.349756
1968-12,4.321969
1969-01,4.434273
1969-02,4.460902
1969-03,4.495635
1969-04,4.518791
1969-05,4.547735
1969-06,4.563944
1969-07,4.563944
1969-08,4.587099
1969-09,4.735294
1969-10,4.862649
1969-11,4.917065
1969-12,5.025896
1970-01,5.094204
1970-02,5.196088
1970-03,5.30955
1970-04,5.423012
1970-05,5.368597
1970-06,5.255135
1970-07,5.292183
1970-08,5.33039
1970-09,5.460061
1970-10,5.567734
1970-11,5.557314
1970-12,5.750662
1971-01,5.90233
1971-02,6.019265
1971-03,6.132727
1971-04,6.106098
1971-05,5.997268
1971-06,5.988005
1971-07,6.094521
1971-08,6.148936
1971-09,6.251978
1971-10,6.202194
1971-11,6.212614
1971-12,6.272818
1972-01,6.368913
1972-02,6.572681
1972-03,6.756767
1972-04,6.800763
1972-05,6.828549
1972-06,6.865598
1972-07,6.938538
1972-08,7.047368
1972-09,7.053157
1972-10,6.972113
1972-11,6.8436
1972-12,6.848231
1973-01,6.870229
1973-02,6.891069
1973-03,6.901489
1973-04,6.938538
1973-05,6.97906
1973-06,6.961693
1973-07,6.9999
1973-08,7.069366
1973-09,7.128413
1973-10,7.138833
1973-11,7.225666
1973-12,7.429434
1974-01,7.747821
1974-02,8.156516
1974-03,8.463326
1974-04,8.620783
1974-05,8.66362
1974-06,8.598785
1974-07,8.786344
1974-08,9.061895
1974-09,9.212405
1974-10,9.12673
1974-11,9.249454
1974-12,9.394176
1975-01,9.718352
1975-02,9.894334
1975-03,10.080735
1975-04,10.399123
1975-05,10.771926
1975-06,10.914332
1975-07,11.112312
1975-08,11.354286
1975-09,11.749087
1975-10,11.913491
1975-11,11.8255
1975-12,11.881073
1976-01,11.957487
1976-02,12.088315
1976-03,12.297872
1976-04,12.4287
1976-05,12.505114
1976-06,12.625522
1976-07,12.868654
1976-08,12.999483
1976-09,13.097894
1976-10,12.955487
1976-11,12.94391
1976-12,13.021481
1977-01,13.118734
1977-02,13.427859
1977-03,13.613103
1977-04,13.624681
1977-05,13.765929
1977-06,13.899073
1977-07,14.075055
1977-08,14.261456
1977-09,14.304294
1977-10,14.261456
1977-11,14.315872
1977-12,14.447858
1978-01,14.864656
1978-02,15.171466
1978-03,15.368288
1978-04,15.34629
1978-05,15.500274
1978-06,15.927492
1978-07,16.157889
1978-08,16.191465
1978-09,16.519115
1978-10,16.662679
1978-11,16.75067
1978-12,16.815505
1979-01,16.959069
1979-02,17.551849
1979-03,17.870237
1979-04,18.307875
1979-05,18.879815
1979-06,19.054639
1979-07,19.141472
1979-08,19.207465
1979-09,19.471438
1979-10,19.602266
1979-11,19.898656
1979-12,20.381448
1980-01,21.265987
1980-02,22.186417
1980-03,23.01191
1980-04,23.180945
1980-05,23.910342
1980-06,24.202101
1980-07,24.397765
1980-08,24.808774
1980-09,25.270726
1980-10,25.974652
1980-11,26.120532
1980-12,26.944867
1981-01,27.382505
1981-02,27.601324
1981-03,28.135058
1981-04,28.377033
1981-05,29.009177
1981-06,29.809199
1981-07,30.100958
1981-08,30.41703
1981-09,30.804884
1981-10,30.731945
1981-11,30.465657
1981-12,30.635849
1982-01,30.781729
1982-02,30.92645
1982-03,31.217052
1982-04,31.266836
1982-05,31.509968
1982-06,31.703317
1982-07,31.776256
1982-08,31.873509
1982-09,32.018231
1982-10,31.945291
1982-11,31.751943
1982-12,32.115484
1983-01,32.359774
1983-02,32.577436
1983-03,32.697844
1983-04,32.602907
1983-05,32.697844
1983-06,32.673531
1983-07,32.673531
1983-08,32.697844
1983-09,32.746471
1983-10,32.722157
1983-11,32.650376
1983-12,32.746471
1984-01,32.940977
1984-02,33.232736
1984-03,33.354302
1984-04,33.451555
1984-05,33.401771
1984-06,33.232736
1984-07,33.232736
1984-08,33.401771
1984-09,33.790783
1984-10,33.621748
1984-11,33.54765
1984-12,33.54765
1985-01,33.635641
1985-02,33.8753
1985-03,33.910033
1985-04,33.944766
1985-05,34.184426
1985-06,34.218001
1985-07,34.218001
1985-08,34.28631
1985-09,34.662586
1985-10,34.765628
1985-11,34.355776
1985-12,34.559544
1986-01,34.86867
1986-02,35.072438
1986-03,35.141904
1986-04,35.107171
1986-05,35.313255
1986-06,35.244946
1986-07,35.278522
1986-08,35.244946
1986-09,35.449872
1986-10,35.107171
1986-11,35.04002
1986-12,35.04002
1987-01,35.17548
1987-02,35.244946
1987-03,35.517023
1987-04,35.723107
1987-05,36.269576
1987-06,36.237158
1987-07,36.132959
1987-08,36.64701
1987-09,36.886669
1987-10,36.921403
1987-11,36.853094
1987-12,37.159904
1988-01,37.36483
1988-02,37.980766
1988-03,38.52955
1988-04,38.462399
1988-05,38.66501
1988-06,38.905827
1988-07,38.974135
1988-08,39.179061
1988-09,39.282103
1988-10,39.179061
1988-11,39.488187
1988-12,39.82973
1989-01,39.896881
1989-02,40.034656
1989-03,40.309048
1989-04,40.479241
1989-05,40.993293
1989-06,41.061601
1989-07,41.026868
1989-08,41.335994
1989-09,41.71227
1989-10,41.814154
1989-11,41.882463
1989-12,41.848887
1990-01,42.816786
1990-02,43.084232
1990-03,43.529975
1990-04,44.020871
1990-05,44.510609
1990-06,44.731744
1990-07,44.866046
1990-08,45.045501
1990-09,45.312946
1990-10,45.44609
1990-11,45.491243
1990-12,45.756374
1991-01,46.737008
1991-02,47.361048
1991-03,47.941092
1991-04,48.163385
1991-05,48.296529
1991-06,48.60797
1991-07,48.920569
1991-08,49.321159
1991-09,49.589762
1991-10,49.678911
1991-11,49.900046
1991-12,49.989194
1992-01,50.346946
1992-02,50.658387
1992-03,51.193279
1992-04,51.50472
1992-05,51.817319
1992-06,51.907625
1992-07,52.12876
1992-08,52.217908
1992-09,52.396206
1992-10,52.351052
1992-11,52.083607
1992-12,52.217908
1993-01,52.618498
1993-02,52.975092
1993-03,53.643128
1993-04,53.955727
1993-05,54.134024
1993-06,54.40147
1993-07,54.357474
1993-08,54.535771
1993-09,54.802059
1993-10,55.024352
1993-11,54.935203
1993-12,55.246644
1994-01,55.960991
1994-02,56.583873
1994-03,57.073611
1994-04,57.16276
1994-05,57.207913
1994-06,57.608503
1994-07,58.099399
1994-08,58.545142
1994-09,58.365687
1994-10,58.188547
1994-11,58.277696
1994-12,58.322849
1995-01,58.869318
1995-02,59.110135
1995-03,59.71102
1995-04,60.072245
1995-05,60.192654
1995-06,60.013199
1995-07,60.192654
1995-08,60.553879
1995-09,61.095717
1995-10,60.795854
1995-11,60.674287
1995-12,61.095717
1996-01,61.696602
1996-02,61.939734
1996-03,62.360006
1996-04,62.781435
1996-05,63.142661
1996-06,63.142661
1996-07,63.443682
1996-08,63.743545
1996-09,63.865112
1996-10,63.865112
1996-11,63.865112
1996-12,64.104771
1997-01,64.587562
1997-02,64.94763
1997-03,65.188447
1997-04,65.489468
1997-05,65.549672
1997-06,65.670081
1997-07,65.790489
1997-08,66.270965
1997-09,66.574302
1997-10,66.574302
1997-11,66.633349
1997-12,68.319067
1998-01,69.944581
1998-02,71.148666
1998-03,71.028257
1998-04,71.269074
1998-05,70.907849
1998-06,70.606828
1998-07,70.606828
1998-08,70.846487
1998-09,71.148666
1998-10,71.388325
1998-11,71.148666
1998-12,71.028257
1999-01,70.968053
1999-02,71.269074
1999-03,71.388325
1999-04,71.568938
1999-05,71.448529
1999-06,71.028257
1999-07,70.786283
1999-08,71.509891
1999-09,71.690504
1999-10,72.232342
1999-11,72.110776
1999-12,71.990367
2000-01,72.309913
2000-02,72.531048
2000-03,72.895746
2000-04,72.60283
2000-05,72.236973
2000-06,72.60283
2000-07,72.895746
2000-08,73.260445
2000-09,74.210977
2000-10,74.138037
2000-11,73.699241
2000-12,73.991
2001-01,74.796811
2001-02,75.161509
2001-03,75.820283
2001-04,76.112042
2001-05,76.039102
2001-06,76.257921
2001-07,76.403801
2001-08,76.696717
2001-09,76.623778
2001-10,76.623778
2001-11,76.186139
2001-12,76.332019
2002-01,76.769657
2002-02,77.135514
2002-03,77.57431
2002-04,78.013106
2002-05,78.304865
2002-06,78.231925
2002-07,78.013106
2002-08,78.524842
2002-09,78.964796
2002-10,78.743661
2002-11,78.817759
2002-12,79.1813
2003-01,79.695351
2003-02,80.13299
2003-03,81.083522
2003-04,80.937642
2003-05,80.791763
2003-06,80.571786
2003-07,80.500004
2003-08,80.864703
2003-09,81.596416
2003-10,81.668198
2003-11,81.522318
2003-12,81.889332
2004-01,82.401068
2004-02,82.765767
2004-03,83.569262
2004-04,83.569262
2004-05,83.49748
2004-06,83.49748
2004-07,84.009216
2004-08,84.738613
2004-09,84.738613
2004-10,84.738613
2004-11,84.228035
2004-12,84.375072
2005-01,85.205196
2005-02,85.550213
2005-03,86.06658
2005-04,86.153413
2005-05,86.06658
2005-06,85.807238
2005-07,86.153413
2005-08,86.411596
2005-09,86.842288
2005-10,86.66978
2005-11,86.324763
2005-12,86.584105
2006-01,87.100472
2006-02,87.274138
2006-03,87.790505
2006-04,87.877338
2006-05,88.048688
2006-06,87.877338
2006-07,88.221197
2006-08,88.737564
2006-09,88.995747
2006-10,88.565055
2006-11,88.135521
2006-12,88.393705
2007-01,88.565055
2007-02,89.168255
2007-03,89.68578
2007-04,90.029639
2007-05,90.116472
2007-06,90.116472
2007-07,90.461489
2007-08,90.547164
2007-09,91.064689
2007-10,91.236039
2007-11,91.236039
2007-12,91.581056
2008-01,92.01059
2008-02,92.356764
2008-03,93.218148
2008-04,93.735673
2008-05,94.509065
2008-06,95.112265
2008-07,95.802299
2008-08,95.62979
2008-09,95.716623
2008-10,95.62979
2008-11,95.371607
2008-12,95.371607
2009-01,95.45844
2009-02,96.147315
2009-03,96.83619
2009-04,97.093216
2009-05,97.093216
2009-06,97.007541
2009-07,97.352558
2009-08,97.697574
2009-09,97.784407
2009-10,97.525066
2009-11,97.697574
2009-12,98.042591
2010-01,98.817141
2010-02,99.016278
2010-03,99.216573
2010-04,99.616005
2010-05,99.716731
2010-06,99.616005
2010-07,99.8163
2010-08,100.317616
2010-09,101.11648
2010-10,101.11648
2010-11,100.617479
2010-12,101.016911
2011-01,102.217523
2011-02,102.916818
2011-03,103.317408
2011-04,103.418134
2011-05,103.617271
2011-06,103.817566
2011-07,104.317724
2011-08,105.018177
2011-09,104.917451
2011-10,104.718314
2011-11,104.817882
2011-12,105.217314
2012-01,105.637586
2012-02,106.038176
2012-03,106.068278
2012-04,106.057858
2012-05,106.247733
2012-06,106.097222
2012-07,105.857563
2012-08,106.347301
2012-09,107.107959
2012-10,106.907664
2012-11,106.527914
2012-12,106.717789
