TIME_PERIOD,ipc
1920-03,5.534779
1920-04,5.684368
1920-05,5.684368
1920-06,5.833957
1920-07,5.983545
1920-08,6.133134
1920-09,6.282723
1920-10,6.432311
1920-11,6.432311
1920-12,6.432311
1921-01,6.282723
1921-02,5.833957
1921-03,5.684368
1921-04,5.684368
1921-05,5.534779
1921-06,5.534779
1921-07,5.534779
1921-08,5.534779
1921-09,5.385191
1921-10,5.385191
1921-11,5.385191
1921-12,5.086013
1922-01,5.086013
1922-02,4.936425
1922-03,4.786836
1922-04,4.786836
1922-05,4.637248
1922-06,4.637248
1922-07,4.637248
1922-08,4.637248
1922-09,4.637248
1922-10,4.487659
1922-11,4.487659
1922-12,4.33807
1923-01,4.33807
1923-02,4.33807
1923-03,4.33807
1923-04,4.33807
1923-05,4.33807
1923-06,4.33807
1923-07,4.33807
1923-08,4.487659
1923-09,4.33807
1923-10,4.33807
1923-11,4.487659
1923-12,4.487659
1924-01,4.487659
1924-02,4.637248
1924-03,4.637248
1924-04,4.637248
1924-05,4.637248
1924-06,4.786836
1924-07,4.786836
1924-08,4.936425
1924-09,4.936425
1924-10,4.936425
1924-11,5.086013
1924-12,5.086013
1925-01,5.086013
1925-02,5.235602
1925-03,5.235602
1925-04,5.086013
1925-05,5.086013
1925-06,4.936425
1925-07,4.936425
1925-08,4.936425
1925-09,4.786836
1925-10,4.637248
1925-11,4.487659
1925-12,4.487659
1926-02,4.33807
1926-03,4.33807
1926-04,4.188482
1926-05,4.188482
1926-06,4.188482
1926-07,4.188482
1926-08,4.188482
1926-09,4.038893
1926-10,4.038893
1926-11,4.038893
1926-12,4.038893
1927-01,3.889304
1927-02,3.889304
1927-03,3.739716
1927-04,3.739716
1927-05,3.739716
1927-06,3.739716
1927-07,3.739716
1927-08,3.739716
1927-09,3.739716
1927-10,3.739716
1927-11,3.590127
1927-12,3.590127
1928-01,3.590127
1928-02,3.590127
1928-03,3.440539
1928-04,3.440539
1928-05,3.440539
1928-06,3.440539
1928-07,3.590127
1928-08,3.440539
1928-09,3.440539
1928-10,3.440539
1928-11,3.440539
1928-12,3.440539
1929-01,3.29095
1929-02,3.29095
1929-03,3.29095
1929-04,3.29095
1929-05,3.29095
1929-06,3.29095
1929-07,3.29095
1929-08,3.29095
1929-09,3.29095
1929-10,3.29095
1929-11,3.29095
1929-12,3.29095
1930-01,3.29095
1930-02,3.29095
1930-03,3.29095
1930-04,3.29095
1930-05,3.29095
1930-06,3.29095
1930-07,3.29095
1930-08,3.29095
1930-09,3.29095
1930-10,3.141361
1930-11,3.141361
1930-12,3.141361
1931-01,3.141361
1931-02,3.141361
1931-03,3.141361
1931-04,3.141361
1931-05,2.991773
1931-06,2.991773
1931-07,2.991773
1931-08,2.991773
1931-09,2.991773
1931-10,2.991773
1931-11,2.991773
1931-12,2.991773
1932-01,2.991773
1932-02,2.991773
1932-03,2.991773
1932-04,2.991773
1932-05,2.991773
1932-06,2.991773
1932-07,2.991773
1932-08,2.991773
1932-09,2.991773
1932-10,2.991773
1932-11,2.991773
1932-12,2.991773
1933-01,2.991773
1933-02,2.991773
1933-03,2.991773
1933-04,2.991773
1933-05,2.991773
1933-06,2.991773
1933-07,2.991773
1933-08,2.991773
1933-09,2.991773
1933-10,2.991773
1933-11,2.991773
1933-12,2.991773
1934-01,2.991773
1934-02,2.991773
1934-03,2.991773
1934-04,2.991773
1934-05,2.991773
1934-06,2.991773
1934-07,2.991773
1934-08,2.991773
1934-09,2.991773
1934-10,2.991773
1934-11,2.991773
1934-12,2.991773
1935-01,2.991773
1935-02,2.991773
1935-03,2.991773
1935-04,2.991773
1935-05,2.991773
1935-06,2.991773
1935-07,2.991773
1935-08,2.991773
1935-09,2.991773
1935-10,2.991773
1935-11,3.141361
1935-12,3.141361
1936-01,3.141361
1936-02,3.141361
1936-03,3.141361
1936-04,3.141361
1936-05,3.141361
1936-06,3.141361
1936-07,3.141361
1936-08,3.141361
1936-09,3.141361
1936-10,3.141361
1936-11,3.141361
1936-12,3.141361
1937-01,3.141361
1937-02,3.141361
1937-03,3.29095
1937-04,3.29095
1937-05,3.29095
1937-06,3.29095
1937-07,3.440539
1937-08,3.440539
1937-09,3.440539
1937-10,3.440539
1937-11,3.440539
1937-12,3.440539
1938-01,3.440539
1938-02,3.440539
1938-03,3.440539
1938-04,3.440539
1938-05,3.440539
1938-06,3.440539
1938-07,3.440539
1938-08,3.440539
1938-09,3.440539
1938-10,3.440539
1938-11,3.440539
1938-12,3.440539
1939-01,3.440539
1939-02,3.440539
1939-03,3.440539
1939-04,3.440539
1939-05,3.440539
1939-06,3.440539
1939-07,3.440539
1939-08,3.440539
1939-09,3.440539
1939-10,3.590127
1939-11,3.590127
1939-12,3.590127
1940-01,3.590127
1940-02,3.739716
1940-03,3.889304
1940-04,4.038893
1940-05,4.038893
1940-06,4.038893
1940-07,4.038893
1940-08,4.038893
1940-09,4.33807
1940-10,4.33807
1940-11,4.33807
1940-12,4.487659
1941-01,4.637248
1941-02,4.637248
1941-03,4.637248
1941-04,4.637248
1941-05,4.786836
1941-06,4.786836
1941-07,4.786836
1941-08,4.936425
1941-09,4.936425
1941-10,4.936425
1941-11,4.936425
1941-12,4.936425
1942-01,4.936425
