TIME_PERIOD,ipc
1925-07,2.316268
1925-08,2.316268
1925-09,2.316268
1925-10,2.323441
1925-11,2.323441
1925-12,2.323441
1926-01,2.306337
1926-02,2.306337
1926-03,2.306337
1926-04,2.316268
1926-05,2.316268
1926-06,2.316268
1926-07,2.319137
1926-08,2.319137
1926-09,2.319137
1926-10,2.309206
1926-11,2.309206
1926-12,2.309206
1927-01,2.304902
1927-02,2.304902
1927-03,2.304902
1927-04,2.296405
1927-05,2.296405
1927-06,2.296405
1927-07,2.286474
1927-08,2.286474
1927-09,2.286474
1927-10,2.287908
1927-11,2.287908
1927-12,2.287908
1928-01,2.287908
1928-02,2.287908
1928-03,2.287908
1928-04,2.302143
1928-05,2.302143
1928-06,2.302143
1928-07,2.290777
1928-08,2.290777
1928-09,2.290777
1928-10,2.302143
1928-11,2.302143
1928-12,2.302143
1929-01,2.289343
1929-02,2.289343
1929-03,2.289343
1929-04,2.285039
1929-05,2.285039
1929-06,2.285039
1929-07,2.291219
1929-08,2.291219
1929-09,2.291219
1929-10,2.291219
1929-11,2.291219
1929-12,2.291219
1930-01,2.275218
1930-02,2.275218
1930-03,2.275218
1930-04,2.261534
1930-05,2.261534
1930-06,2.261534
1930-07,2.238692
1930-08,2.238692
1930-09,2.238692
1930-10,2.199848
1930-11,2.199848
1930-12,2.199848
1931-01,2.129003
1931-02,2.129003
1931-03,2.129003
1931-04,2.085635
1931-05,2.085635
1931-06,2.085635
1931-07,2.035315
1931-08,2.035315
1931-09,2.035315
1931-10,2.028473
1931-11,2.028473
1931-12,2.028473
1932-01,1.998788
1932-02,1.998788
1932-03,1.998788
1932-04,1.916577
1932-05,1.916577
1932-06,1.916577
1932-07,1.875416
1932-08,1.875416
1932-09,1.875416
1932-10,1.841207
1932-11,1.841207
1932-12,1.841207
1933-01,1.820682
1933-02,1.820682
1933-03,1.820682
1933-04,1.818364
1933-05,1.818364
1933-06,1.818364
1933-07,1.818364
1933-08,1.818364
1933-09,1.818364
1933-10,1.827524
1933-11,1.827524
1933-12,1.827524
1934-01,1.836572
1934-02,1.836572
1934-03,1.836572
1934-04,1.854891
1934-05,1.854891
1934-06,1.854891
1934-07,1.843524
1934-08,1.843524
1934-09,1.843524
1934-10,1.850366
1934-11,1.850366
1934-12,1.850366
1935-01,1.886892
1935-02,1.886892
1935-03,1.886892
1935-04,1.907418
1935-05,1.907418
1935-06,1.907418
1935-07,1.914259
1935-08,1.914259
1935-09,1.914259
1935-10,1.953103
1935-11,1.953103
1935-12,1.953103
1936-01,1.918894
1936-02,1.918894
1936-03,1.918894
1936-04,1.95542
1936-05,1.95542
1936-06,1.95542
1936-07,1.987422
1936-08,1.987422
1936-09,1.987422
1936-10,2.017107
1936-11,2.017107
1936-12,2.017107
1937-01,2.051315
1937-02,2.051315
1937-03,2.051315
1937-04,2.099318
1937-05,2.099318
1937-06,2.099318
1937-07,2.117636
1937-08,2.117636
1937-09,2.117636
1937-10,2.163322
1937-11,2.163322
1937-12,2.163322
1938-01,2.154163
1938-02,2.154163
1938-03,2.154163
1938-04,2.172481
1938-05,2.172481
1938-06,2.172481
1938-07,2.174688
1938-08,2.174688
1938-09,2.174688
1938-10,2.177005
1938-11,2.177005
1938-12,2.177005
1939-01,2.213531
1939-02,2.213531
1939-03,2.213531
1939-04,2.245533
1939-05,2.245533
1939-06,2.245533
1939-07,2.2729
1939-08,2.2729
1939-09,2.2729
1939-10,2.343746
1939-11,2.343746
1939-12,2.343746
1940-01,2.314061
1940-02,2.314061
1940-03,2.314061
1940-04,2.350587
1940-05,2.350587
1940-06,2.350587
1940-07,2.380272
1940-08,2.380272
1940-09,2.380272
1940-10,2.407749
1940-11,2.407749
1940-12,2.407749
1941-01,2.412274
1941-02,2.412274
1941-03,2.412274
1941-04,2.441958
1941-05,2.441958
1941-06,2.441958
1941-07,2.451117
1941-08,2.451117
1941-09,2.451117
1941-10,2.49912
1941-11,2.49912
1941-12,2.49912
1942-01,2.467118
1942-02,2.467118
1942-03,2.467118
1942-04,2.505962
1942-05,2.505962
1942-06,2.505962
1942-07,2.553964
1942-08,2.553964
1942-09,2.553964
1942-10,2.597332
1942-11,2.597332
1942-12,2.597332
1943-01,2.565331
1943-02,2.565331
1943-03,2.565331
1943-04,2.572172
1943-05,2.572172
1943-06,2.572172
1943-07,2.59965
1943-08,2.59965
1943-09,2.59965
1943-10,2.633859
1943-11,2.633859
1943-12,2.633859
1944-01,2.611016
1944-02,2.611016
1944-03,2.611016
1944-04,2.624699
1944-05,2.624699
1944-06,2.624699
1944-07,2.643018
1944-08,2.643018
1944-09,2.643018
1944-10,2.672702
1944-11,2.672702
1944-12,2.672702
1945-01,2.656701
1945-02,2.656701
1945-03,2.656701
1945-04,2.659019
1945-05,2.659019
1945-06,2.659019
1945-07,2.672702
1945-08,2.672702
1945-09,2.672702
1945-10,2.707021
1945-11,2.707021
1945-12,2.707021
1946-01,2.681861
1946-02,2.681861
1946-03,2.681861
1946-04,2.686386
1946-05,2.686386
1946-06,2.686386
1946-07,2.707021
1946-08,2.707021
1946-09,2.707021
1946-10,2.702387
1946-11,2.702387
1946-12,2.702387
1947-01,2.69102
1947-02,2.69102
1947-03,2.69102
1947-04,2.709228
1947-05,2.709228
1947-06,2.709228
1947-07,2.754914
1947-08,2.754914
1947-09,2.754914
1947-10,2.976499
1947-11,2.976499
1947-12,2.976499
1948-01,2.962815
1948-02,2.962815
1948-03,2.962815
1948-04,2.997134
1948-05,2.997134
1948-06,2.997134
1948-07,3.017659
1948-08,3.017659
1948-09,3.017659
1948-10,3.024501
1948-11,3.024501
1948-12,3.024501
1949-01,3.024501
1949-02,3.024501
1949-03,3.024501
1949-04,3.030571
1949-05,3.030571
1949-06,3.030571
1949-07,3.066876
1949-08,3.066876
1949-09,3.066876
1949-10,3.078904
1949-11,3.078904
1949-12,3.078904
1950-01,3.084974
1950-02,3.084974
1950-03,3.084974
1950-04,3.181751
1950-05,3.181751
1950-06,3.181751
1950-07,3.287578
1950-08,3.287578
1950-09,3.287578
1950-10,3.342092
1950-11,3.342092
1950-12,3.342092
1951-01,3.390425
1951-02,3.390425
1951-03,3.390425
1951-04,3.535647
1951-05,3.535647
1951-06,3.535647
1951-07,3.650523
1951-08,3.650523
1951-09,3.650523
1951-10,3.741342
1951-11,3.741342
1951-12,3.741342
1952-01,3.789675
1952-02,3.789675
1952-03,3.789675
1952-04,3.841099
1952-05,3.841099
1952-06,3.841099
1952-07,3.883474
1952-08,3.883474
1952-09,3.883474
1952-10,3.91371
1952-11,3.91371
1952-12,3.91371
1953-01,3.952995
1953-02,3.952995
1953-03,3.952995
1953-04,3.998349
1953-05,3.998349
1953-06,3.998349
1953-07,4.043703
1953-08,4.043703
1953-09,4.043703
1953-10,4.131433
1953-11,4.131433
1953-12,4.131433
1954-01,4.164759
1954-02,4.164759
1954-03,4.164759
1954-04,4.23428
1954-05,4.23428
1954-06,4.23428
1954-07,4.240349
1954-08,4.240349
1954-09,4.240349
1954-10,4.2313
1954-11,4.2313
1954-12,4.2313
1955-01,4.288683
1955-02,4.288683
1955-03,4.288683
1955-04,4.331058
1955-05,4.331058
1955-06,4.331058
1955-07,4.337127
1955-08,4.337127
1955-09,4.337127
1955-10,4.337127
1955-11,4.337127
1955-12,4.337127
1956-01,4.381267
1956-02,4.381267
1956-03,4.381267
1956-04,4.44185
1956-05,4.44185
1956-06,4.44185
1956-07,4.536973
1956-08,4.536973
1956-09,4.536973
1956-10,4.536973
1956-11,4.536973
1956-12,4.536973
1957-01,4.502322
1957-02,4.502322
1957-03,4.502322
1957-04,4.567209
1957-05,4.567209
1957-06,4.567209
1957-07,4.597555
1957-08,4.597555
1957-09,4.597555
1957-10,4.619184
1957-11,4.619184
1957-12,4.619184
1958-01,4.623488
1958-02,4.623488
1958-03,4.623488
1958-04,4.671049
1958-05,4.671049
1958-06,4.671049
1958-07,4.887337
1958-08,4.887337
1958-09,4.887337
1958-10,4.917573
1958-11,4.917573
1958-12,4.917573
1959-01,4.926181
1959-02,4.926181
1959-03,4.926181
1959-04,4.939202
1959-05,4.939202
1959-06,4.939202
1959-07,4.991067
1959-08,4.991067
1959-09,4.991067
1959-10,4.973742
1959-11,4.973742
1959-12,4.973742
1960-01,4.952113
1960-02,4.952113
1960-03,4.952113
1960-04,4.960831
1960-05,4.960831
1960-06,4.960831
1960-07,5.004089
1960-08,5.004089
1960-09,5.004089
1960-10,5.05165
1960-11,5.05165
1960-12,5.05165
1961-01,5.030021
1961-02,5.030021
1961-03,5.030021
1961-04,5.030021
1961-05,5.030021
1961-06,5.030021
1961-07,5.107818
1961-08,5.107818
1961-09,5.107818
1961-10,5.159794
1961-11,5.159794
1961-12,5.159794
1962-01,5.177009
1962-02,5.177009
1962-03,5.177009
1962-04,5.194334
1962-05,5.194334
1962-06,5.194334
1962-07,5.233288
1962-08,5.233288
1962-09,5.233288
1962-10,5.267938
1962-11,5.267938
1962-12,5.267938
1963-01,5.272242
1963-02,5.272242
1963-03,5.272242
1963-04,5.29387
1963-05,5.29387
1963-06,5.29387
1963-07,5.332714
1963-08,5.332714
1963-09,5.332714
1963-10,5.384689
1963-11,5.384689
1963-12,5.384689
1964-01,5.406318
1964-02,5.406318
1964-03,5.406318
1964-04,5.453879
1964-05,5.453879
1964-06,5.453879
1964-07,5.536091
1964-08,5.536091
1964-09,5.536091
1964-10,5.62691
1964-11,5.62691
1964-12,5.62691
1965-01,5.639821
1965-02,5.639821
1965-03,5.639821
1965-04,5.648539
1965-05,5.648539
1965-06,5.648539
1965-07,5.722032
1965-08,5.722032
1965-09,5.722032
1965-10,5.760986
1965-11,5.760986
1965-12,5.760986
1966-01,5.79983
1966-02,5.79983
1966-03,5.79983
1966-04,5.834039
1966-05,5.834039
1966-06,5.834039
1966-07,5.868137
1966-08,5.868137
1966-09,5.868137
1966-10,5.896608
1966-11,5.896608
1966-12,5.896608
1967-01,6.044588
1967-02,6.044588
1967-03,6.044588
1967-04,6.209674
1967-05,6.209674
1967-06,6.209674
1967-07,6.277981
1967-08,6.277981
1967-09,6.277981
1967-10,6.283719
1967-11,6.283719
1967-12,6.283719
1968-01,6.346288
1968-02,6.346288
1968-03,6.346288
1968-04,6.4317
1968-05,6.4317
1968-06,6.4317
1968-07,6.505635
1968-08,6.505635
1968-09,6.505635
1968-10,6.602413
1968-11,6.602413
1968-12,6.602413
1969-01,6.693453
1969-02,6.693453
1969-03,6.693453
1969-04,6.767498
1969-05,6.767498
1969-06,6.767498
1969-07,6.835805
1969-08,6.835805
1969-09,6.835805
1969-10,6.864276
1969-11,6.864276
1969-12,6.864276
1970-01,7.012257
1970-02,7.012257
1970-03,7.012257
1970-04,7.120401
1970-05,7.120401
