TIME_PERIOD,ipc
1949-01,1.562796572e-08
1949-02,1.580229924e-08
1949-03,1.588995846e-08
1949-04,1.641394395e-08
1949-05,1.66759367e-08
1949-06,1.693792944e-08
1949-07,1.719992219e-08
1949-08,1.772292274e-08
1949-09,1.78982412e-08
1949-10,1.781058197e-08
1949-11,1.833456746e-08
1949-12,1.842222669e-08
1950-01,1.868323449e-08
1950-02,1.845472954e-08
1950-03,1.847836799e-08
1950-04,1.842222669e-08
1950-05,1.867240021e-08
1950-06,1.861527397e-08
1950-07,1.867043034e-08
1950-08,1.847147344e-08
1950-09,1.851875033e-08
1950-10,1.937662883e-08
1950-11,1.9616953e-08
1950-12,1.982083457e-08
1951-01,2.039406682e-08
1951-02,2.024140187e-08
1951-03,2.029852811e-08
1951-04,2.039012708e-08
1951-05,2.042262994e-08
1951-06,2.060484293e-08
1951-07,2.063734579e-08
1951-08,2.079493541e-08
1951-09,2.092790166e-08
1951-10,2.100965127e-08
1951-11,2.117709025e-08
1951-12,2.138195675e-08
1952-01,2.144105286e-08
1952-02,2.15011339e-08
1952-03,2.166266327e-08
1952-04,2.173259366e-08
1952-05,2.187639419e-08
1952-06,2.198670692e-08
1952-07,2.218369395e-08
1952-08,2.241810851e-08
1952-09,2.253925553e-08
1952-10,2.255895423e-08
1952-11,2.273722749e-08
1952-12,2.282587165e-08
1953-01,2.289875685e-08
1953-02,2.293224465e-08
1953-03,2.299035582e-08
1953-04,2.302088881e-08
1953-05,2.476816373e-08
1953-06,2.463618242e-08
1953-07,2.46411071e-08
1953-08,2.45652671e-08
1953-09,2.47307362e-08
1953-10,2.481051594e-08
1953-11,2.479968166e-08
1953-12,2.479180218e-08
1954-01,2.492181361e-08
1954-02,2.503409622e-08
1954-03,2.503803596e-08
1954-04,2.528131494e-08
1954-05,2.529411909e-08
1954-06,2.524585727e-08
1954-07,2.547633209e-08
1954-08,2.553641313e-08
1954-09,2.565460535e-08
1954-10,2.582598406e-08
1954-11,2.594122147e-08
1954-12,2.598751342e-08
1955-01,2.608009733e-08
1955-02,2.620025941e-08
1955-03,2.632928591e-08
1955-04,2.648293579e-08
1955-05,2.659915814e-08
1955-06,2.664643503e-08
1955-07,2.663264593e-08
1955-08,2.67045462e-08
1955-09,2.6813874e-08
1955-10,2.695077998e-08
1955-11,2.700889115e-08
1955-12,2.71418574e-08
1956-01,2.735460339e-08
1956-02,2.74333982e-08
1956-03,2.755553015e-08
1956-04,2.770228549e-08
1956-05,2.783525173e-08
1956-06,2.795935356e-08
1956-07,2.816618993e-08
1956-08,2.833461384e-08
1956-09,2.854440502e-08
1956-10,2.870494945e-08
1956-11,2.868426581e-08
1956-12,2.880836764e-08
1957-01,2.912650169e-08
1957-02,2.929394066e-08
1957-03,2.970465861e-08
1957-04,2.986815784e-08
1957-05,2.988884148e-08
1957-06,3.01025724e-08
1957-07,3.041578177e-08
1957-08,3.078611738e-08
1957-09,3.07417953e-08
1957-10,3.062754282e-08
1957-11,3.068171426e-08
1957-12,3.079202699e-08
1958-01,3.110819117e-08
1958-02,3.162528211e-08
1958-03,3.184689252e-08
1958-04,3.198675331e-08
1958-05,3.216207176e-08
1958-06,3.245853723e-08
1958-07,3.287319492e-08
1958-08,3.341687912e-08
1958-09,3.3206103e-08
1958-10,3.308889572e-08
1958-11,3.343263808e-08
1958-12,3.3570529e-08
1959-01,3.392313577e-08
1959-02,3.41033789e-08
1959-03,3.447765425e-08
1959-04,3.490216129e-08
1959-05,3.53788699e-08
1959-06,3.59481624e-08
1959-07,3.657852088e-08
1959-08,3.882811272e-08
1959-09,3.884682649e-08
1959-10,3.908518079e-08
1959-11,3.913442755e-08
1959-12,3.920632781e-08
1960-01,3.947127536e-08
1960-02,3.948703433e-08
1960-03,3.950279329e-08
1960-04,3.925951431e-08
1960-05,3.934717354e-08
1960-06,3.934914341e-08
1960-07,3.963378966e-08
1960-08,4.016368476e-08
1960-09,4.055076427e-08
1960-10,4.093685884e-08
1960-11,4.05350053e-08
1960-12,4.016269983e-08
1961-01,4.086495857e-08
1961-02,4.102451806e-08
1961-03,4.166177109e-08
1961-04,4.217984697e-08
1961-05,4.265852545e-08
1961-06,4.194149267e-08
1961-07,4.214044957e-08
1961-08,4.249896596e-08
1961-09,4.285846728e-08
1961-10,4.261912804e-08
1961-11,4.305742417e-08
1961-12,4.369566214e-08
1962-01,4.421373802e-08
1962-02,4.457225441e-08
1962-03,4.481159364e-08
1962-04,4.497115313e-08
1962-05,4.505093288e-08
1962-06,4.524988978e-08
1962-07,4.532966952e-08
1962-08,4.497115313e-08
1962-09,4.493077079e-08
1962-10,4.532966952e-08
1962-11,4.552961135e-08
1962-12,4.580834799e-08
1963-01,4.652538077e-08
1963-02,4.652538077e-08
1963-03,4.736257563e-08
1963-04,4.744235538e-08
1963-05,4.728378082e-08
1963-06,4.700405924e-08
1963-07,4.752213512e-08
1963-08,4.776147436e-08
1963-09,4.80008136e-08
1963-10,4.871883131e-08
1963-11,4.935608434e-08
1963-12,4.983476281e-08
1964-01,5.059217792e-08
1964-02,5.075173742e-08
1964-03,5.10708564e-08
1964-04,5.146975513e-08
1964-05,5.1987831e-08
1964-06,5.210700816e-08
1964-07,5.250590688e-08
1964-08,5.338348409e-08
1964-09,5.350266124e-08
1964-10,5.354304358e-08
1964-11,5.350266124e-08
1964-12,5.54163902e-08
1965-01,5.693122043e-08
1965-02,5.796835712e-08
1965-03,5.920346577e-08
1965-04,6.111719473e-08
1965-05,6.159587321e-08
1965-06,6.147669605e-08
1965-07,6.171505036e-08
1965-08,6.183521244e-08
1965-09,6.171505036e-08
1965-10,6.251284781e-08
1965-11,6.315108578e-08
1965-12,6.366916166e-08
1966-01,6.410745779e-08
1966-02,6.48648729e-08
1966-03,6.518399189e-08
1966-04,6.558289061e-08
1966-05,6.566267036e-08
1966-06,6.586162726e-08
1966-07,6.673920446e-08
1966-08,6.765617906e-08
1966-09,6.757639932e-08
1966-10,6.81338726e-08
1966-11,6.80944752e-08
1966-12,6.857315367e-08
1967-01,6.972749764e-08
1967-02,6.973439219e-08
1967-03,7.035588626e-08
1967-04,7.071341771e-08
1967-05,7.184116843e-08
1967-06,7.21317243e-08
1967-07,7.248334614e-08
1967-08,7.273942927e-08
1967-09,7.741294647e-08
1967-10,7.93847866e-08
1967-11,8.013432224e-08
1967-12,8.279561696e-08
1968-01,8.406519834e-08
1968-02,8.458524409e-08
1968-03,8.552388727e-08
1968-04,8.613848679e-08
1968-05,8.681316736e-08
1968-06,8.905586465e-08
1968-07,9.018952499e-08
1968-08,9.073025437e-08
1968-09,9.036582837e-08
1968-10,9.054114683e-08
1968-11,9.057463462e-08
1968-12,9.090557283e-08
1969-01,9.126408921e-08
1969-02,9.166889755e-08
1969-03,9.296605712e-08
1969-04,9.445823384e-08
1969-05,9.457248632e-08
1969-06,9.430261409e-08
1969-07,9.415388889e-08
1969-08,9.382295068e-08
1969-09,9.352648521e-08
1969-10,9.399235952e-08
1969-11,9.468772373e-08
1969-12,9.608534668e-08
1970-01,9.669305165e-08
1970-02,9.634241475e-08
1970-03,9.692254154e-08
1970-04,9.733522936e-08
1970-05,9.712543818e-08
1970-06,9.815863513e-08
1970-07,9.839501956e-08
1970-08,9.875353595e-08
1970-09,9.96045199e-08
1970-10,1.004e-07
1970-11,1.008e-07
1970-12,1.015e-07
1971-01,1.019e-07
1971-02,1.025e-07
1971-03,1.032e-07
1971-04,1.035e-07
1971-05,1.039e-07
1971-06,1.044e-07
1971-07,1.06e-07
1971-08,1.068e-07
1971-09,1.061e-07
1971-10,1.07e-07
1971-11,1.08e-07
