TIME_PERIOD,ipc
2001-01,34.41665
2001-02,35.216322
2001-03,35.86221
2001-04,36.508099
2001-05,37.153988
2001-06,37.76912
2001-07,37.922903
2001-08,37.922903
2001-09,38.168956
2001-10,38.568792
2001-11,39.091655
2001-12,39.737544
2002-01,40.967808
2002-02,41.429157
2002-03,41.890506
2002-04,42.351856
2002-05,43.090014
2002-06,43.305311
2002-07,43.612877
2002-08,43.643633
2002-09,43.828173
2002-10,44.289522
2002-11,45.027681
2002-12,45.704326
2003-01,46.811564
2003-02,47.58048
2003-03,48.072586
2003-04,48.564691
2003-05,48.933771
2003-06,49.333607
2003-07,49.671929
2003-08,49.48739
2003-09,49.641173
2003-10,50.133279
2003-11,50.625384
2003-12,51.179003
2004-01,52.070945
2004-02,52.593808
2004-03,52.993644
2004-04,53.516506
2004-05,53.916342
2004-06,54.316178
2004-07,54.83904
2004-08,55.054337
2004-09,55.30039
2004-10,55.915522
2004-11,56.561411
2004-12,57.176543
2005-01,58.683617
2005-02,59.421776
2005-03,60.190691
2005-04,60.867336
2005-05,61.359442
2005-06,61.759278
2005-07,62.036088
2005-08,61.974575
2005-09,62.128358
2005-10,62.46668
2005-11,62.92803
2005-12,63.420135
2006-01,64.988723
2006-02,66.065204
2006-03,66.588066
2006-04,66.834119
2006-05,67.141685
2006-06,67.356982
2006-07,67.787574
2006-08,67.910601
2006-09,67.972114
2006-10,68.18741
2006-11,68.618003
2006-12,69.140865
2007-01,70.309617
2007-02,71.078532
2007-03,71.509124
2007-04,71.90896
2007-05,72.37031
2007-06,73.046955
2007-07,73.692844
2007-08,73.754357
2007-09,74.338733
2007-10,75.568997
2007-11,76.491696
2007-12,77.352881
2008-01,79.136764
2008-02,80.090219
2008-03,81.043674
2008-04,82.212426
2008-05,83.319664
2008-06,84.119336
2008-07,84.549928
2008-08,84.826738
2008-09,85.53414
2008-10,86.303055
2008-11,87.010457
2008-12,87.62559
2009-01,89.717039
2009-02,91.193357
2009-03,92.362108
2009-04,93.007997
2009-05,93.561616
2009-06,94.115235
2009-07,94.69961
2009-08,94.69961
2009-09,94.668854
2009-10,94.668854
2009-11,94.945663
2009-12,95.345499
2010-01,96.914087
2010-02,97.713758
2010-03,98.359647
2010-04,98.636457
2010-05,99.128563
2010-06,99.528399
2010-07,99.897478
2010-08,100.451097
2010-09,101.281526
2010-10,101.773631
2010-11,102.60406
2010-12,103.711298
2011-01,106.185173
2011-02,106.985062
2011-03,107.684964
2011-04,108.084908
2011-05,108.684824
2011-06,108.884796
2011-07,108.884796
2011-08,108.584838
2011-09,108.584838
2011-10,109.084768
2011-11,109.584699
2011-12,109.984643
2012-01,110.584559
2012-02,110.984503
2012-03,111.684405
2012-04,111.984363
2012-05,112.58428
2012-06,113.58414
2012-07,114.983945
2012-08,115.083931
2012-09,115.683847
2012-10,116.283763
2012-11,116.683707
2012-12,117.283623
2013-01,118.38347
2013-02,119.083372
2013-03,119.483316
2013-04,120.083233
2013-05,120.883121
2013-06,121.383051
2013-07,122.382911
2013-08,122.582884
2013-09,122.782856
2013-10,123.482758
2013-11,124.18266
2013-12,124.882562
2014-01,125.582465
2014-02,126.482339
2014-03,127.782158
2014-04,128.882004
2014-05,130.081836
2014-06,130.881725
2014-07,131.481641
2014-08,131.781599
2014-09,132.681473
2014-10,133.78132
2014-11,135.481083
2014-12,138.980594
2015-01,144.37984
2015-02,147.579393
