TIME_PERIOD,ipc
1918-03,4.734155
1918-06,5.11923
1918-09,5.685517
1918-12,6.274455
1919-03,6.161197
1919-06,5.979986
1919-09,5.979986
1919-12,6.002637
1920-03,5.957334
1920-06,6.070592
1920-09,6.365061
1920-12,6.115895
1921-03,5.413699
1921-06,5.073927
1921-09,4.96067
1921-12,4.575595
1922-03,4.303778
1922-06,4.167869
1922-09,4.167869
1922-12,3.986657
1923-03,3.941354
1923-06,3.8734
1923-09,3.964006
1923-12,3.941354
1924-03,3.918703
1924-06,3.850748
1924-09,3.941354
1924-12,4.054612
1925-03,4.054612
1925-06,4.009309
1925-09,3.986657
1925-12,3.941354
1926-03,3.8734
1926-06,3.8734
1926-09,3.850748
1926-12,3.850748
1927-03,3.805445
1927-06,3.805445
1927-09,3.8734
1927-12,3.828097
1928-03,3.850748
1928-06,3.896051
1928-09,3.8734
1928-12,3.828097
1929-03,3.828097
1929-06,3.805445
1929-09,3.805445
1929-12,3.760143
1930-03,3.71484
1930-06,3.692188
1930-09,3.669537
1930-12,3.624234
1931-03,3.601582
1931-06,3.556279
1931-09,3.533628
1931-12,3.533628
1932-03,3.510976
1932-06,3.510976
1932-09,3.510976
1932-12,3.465674
1933-03,3.397719
1933-06,3.397719
1933-09,3.443022
1933-12,3.397719
1934-03,3.420371
1934-06,3.443022
1934-09,3.465674
1934-12,3.465674
1935-03,3.465674
1935-06,3.510976
1935-09,3.533628
1935-12,3.533628
1936-03,3.556279
1936-06,3.556279
1936-09,3.533628
1936-12,3.556279
1937-03,3.624234
1937-06,3.669537
1937-09,3.692188
1937-12,3.71484
1938-03,3.71484
1938-06,3.737491
1938-09,3.737491
1938-12,3.760143
1939-03,3.782794
1939-06,3.782794
1939-09,3.828097
1939-12,4.009309
1940-03,4.167869
1940-06,4.326429
1940-09,4.417035
1940-12,4.575595
1941-03,4.892716
1941-06,4.892716
1941-09,4.938019
1941-12,5.073927
1942-03,5.209836
1942-06,5.300442
1942-09,5.323093
1942-12,5.323093
1943-03,5.345745
1943-06,5.323093
1943-09,5.300442
1943-12,5.300442
1944-03,5.300442
1944-06,5.27779
1944-09,5.323093
1944-12,5.27779
1945-03,5.300442
1945-06,5.27779
1945-09,5.300442
1945-12,5.255139
1946-03,5.255139
1946-06,5.300442
1946-09,5.300442
1946-12,5.368396
1947-03,5.391048
1947-06,5.413699
1947-09,5.504305
1947-12,5.526957
1948-03,5.708168
1948-06,5.73082
1948-09,5.821426
1948-12,5.798774
1949-03,5.798774
1949-06,5.798774
1949-09,5.821426
1949-12,5.798774
1950-03,5.821426
1950-06,5.844077
1950-09,5.866728
1950-12,6.002637
1951-03,6.568924
1951-06,6.81809
1951-09,6.999301
1951-12,7.157862
1952-03,7.248468
1952-06,7.429679
1952-09,7.429679
1952-12,7.429679
1953-03,7.452331
1953-06,7.429679
1953-09,7.429679
1953-12,7.407028
1954-03,7.474982
1954-06,7.520285
1954-07,7.474982
1954-08,7.474982
1954-09,7.474982
1954-10,7.474982
1954-11,7.474982
1954-12,7.474982
1955-01,7.474232
1955-02,7.507304
1955-03,7.507304
1955-04,7.573448
1955-05,7.606519
1955-06,7.606519
1955-07,7.705735
1955-08,7.738807
1955-09,7.771878
1955-10,7.838022
1955-11,7.904166
1955-12,7.937238
1956-01,7.937238
1956-02,7.970309
1956-03,8.003381
1956-04,8.036453
1956-05,8.069525
1956-06,8.069525
1956-07,8.069525
1956-08,8.102597
1956-09,8.069525
1956-10,8.069525
1956-11,8.16874
1956-12,8.267956
1957-01,8.301028
1957-02,8.334099
1957-03,8.301028
1957-04,8.301028
1957-05,8.334099
1957-06,8.367171
1957-07,8.433315
1957-08,8.400243
1957-09,8.466387
1957-10,8.53253
1957-11,8.53253
1957-12,8.598674
1958-01,8.664818
1958-02,8.764033
1958-03,8.764033
1958-04,8.830177
1958-05,8.797105
1958-06,8.797105
1958-07,8.830177
1958-08,8.797105
1958-09,8.764033
1958-10,8.797105
1958-11,8.797105
1958-12,8.830177
1959-01,8.830177
1959-02,8.830177
1959-03,8.830177
1959-04,8.797105
1959-05,8.830177
1959-06,8.797105
1959-07,8.797105
1959-08,8.830177
1959-09,8.89632
1959-10,8.89632
1959-11,8.929392
1959-12,8.929392
1960-01,9.193967
1960-02,9.193967
1960-03,9.193967
1960-04,9.193967
1960-05,9.193967
1960-06,9.227039
1960-07,9.227039
1960-08,9.227039
