TIME_PERIOD,ipc
1961-01,28.057506
1961-02,28.088132
1961-03,28.1121
1961-04,27.656704
1961-05,27.503573
1961-06,27.697982
1961-07,27.759234
1961-08,28.034869
1961-09,27.893723
1961-10,27.972286
1961-11,28.038864
1961-12,27.994922
1962-01,28.172021
1962-02,28.331809
1962-03,27.925681
1962-04,27.787197
1962-05,27.808503
1962-06,27.936333
1962-07,28.00158
1962-08,27.917691
1962-09,28.037533
1962-10,27.974949
1962-11,28.156042
1962-12,28.235936
1963-01,28.779217
1963-02,28.989605
1963-03,28.443661
1963-04,28.160037
1963-05,28.302515
1963-06,28.390398
1963-07,28.313167
1963-08,28.382409
1963-09,28.507577
1963-10,29.184014
1963-11,28.970963
1963-12,29.025557
1964-01,29.201324
1964-02,29.310513
1964-03,29.205319
1964-04,28.813838
1964-05,28.825822
1964-06,28.73927
1964-07,28.87509
1964-08,29.353123
1964-09,29.274561
1964-10,29.086809
1964-11,29.069499
1964-12,29.355787
1965-01,29.42636
1965-02,29.334481
1965-03,29.144067
1965-04,28.717965
1965-05,28.944332
1965-06,29.048194
1965-07,28.869764
1965-08,29.046862
1965-09,29.140072
1965-10,29.218635
1965-11,29.425028
1965-12,29.644737
1966-01,30.005593
1966-02,29.728626
1966-03,29.491607
1966-04,29.603459
1966-05,29.543538
1966-06,29.620769
1966-07,29.735284
1966-08,29.941677
1966-09,29.763247
1966-10,29.592806
1966-11,29.921704
1966-12,30.10546
1967-01,30.519579
1967-02,30.534226
1967-03,30.369111
1967-04,29.891078
1967-05,30.164049
1967-06,30.510258
1967-07,30.927039
1967-08,30.799208
1967-09,31.048212
1967-10,30.927039
1967-11,31.223979
1967-12,31.503609
1968-01,31.532903
1968-02,31.174711
1968-03,31.061527
1968-04,31.000275
1968-05,30.658062
1968-06,30.655399
1968-07,30.809861
1968-08,31.057533
1968-09,30.876439
1968-10,30.828503
1968-11,30.760593
1968-12,30.667383
1969-01,30.708661
1969-02,30.66472
1969-03,30.837824
1969-04,30.736624
1969-05,31.037559
1969-06,30.880434
1969-07,30.77524
1969-08,30.88576
1969-09,30.935028
1969-10,30.70733
1969-11,31.02158
1969-12,31.450346
1970-01,31.008265
1970-02,31.14009
1970-03,30.761924
1970-04,30.812524
1970-05,30.832497
1970-06,30.785892
1970-07,31.090822
1970-08,31.065522
1970-09,31.013591
1970-10,31.04688
1970-11,30.976307
1970-12,31.185363
1971-01,32.105478
1971-02,31.539561
1971-03,31.391757
1971-04,31.016254
1971-05,31.346483
1971-06,31.435698
1971-07,31.596818
1971-08,31.445019
1971-09,31.686034
1971-10,31.496951
1971-11,31.674049
1971-12,31.961669
1972-01,32.004279
1972-02,31.992295
1972-03,31.932374
1972-04,31.563529
1972-05,31.688697
1972-06,31.799217
1972-07,31.990963
1972-08,32.273256
1972-09,32.502286
1972-10,32.453018
1972-11,32.769931
1972-12,33.83785
1973-01,33.739314
1973-02,34.905769
1973-03,35.041589
1973-04,35.267956
1973-05,36.835214
1973-06,38.069579
1973-07,39.880514
1973-08,40.333248
1973-09,40.341237
1973-10,41.715417
1973-11,43.511704
1973-12,43.04965
1974-01,44.9245
1974-02,46.242754
1974-03,47.048354
1974-04,46.525047
1974-05,46.557005
1974-06,46.735435
1974-07,47.100285
1974-08,47.419862
1974-09,47.925858
1974-10,48.370602
1974-11,48.47846
1974-12,48.845973
1975-01,49.063019
1975-02,49.160223
1975-03,48.222798
1975-04,47.893901
1975-05,48.082983
1975-06,48.220135
1975-07,48.349297
1975-08,48.550364
1975-09,48.565012
1975-10,48.08831
1975-11,48.185514
1975-12,48.387913
1976-01,48.371934
1976-02,48.362613
1976-03,47.744765
1976-04,47.281378
1976-05,47.471793
1976-06,47.228116
1976-07,47.193495
1976-08,47.130911
1976-09,47.045691
1976-10,46.997754
1976-11,47.276052
1976-12,47.650223
1977-01,48.280056
1977-02,48.603627
