TIME_PERIOD,ipc
1976-01,20.729015
1976-02,20.948757
1976-03,21.290579
1976-04,21.070836
1976-05,21.070836
1976-06,21.070836
1976-07,20.948757
1976-08,21.070836
1976-09,21.522529
1976-10,21.6324
1976-11,21.742271
1976-12,21.522529
1977-01,21.742271
1977-02,21.86435
1977-03,21.974221
1977-04,22.206171
1977-05,22.767735
1977-06,22.877606
1977-07,22.987477
1977-08,23.329298
1977-09,23.561248
1977-10,23.561248
1977-11,23.561248
1977-12,23.561248
1978-01,23.561248
1978-02,23.561248
1978-03,23.78099
1978-04,24.122811
1978-05,24.464633
1978-06,24.806454
1978-07,24.806454
1978-08,24.916325
1978-09,25.026196
1978-10,25.368017
1978-11,25.368017
1978-12,25.258146
1979-01,25.368017
1979-02,25.368017
1979-03,25.490096
1979-04,25.941789
1979-05,26.28361
1979-06,26.503352
1979-07,27.186995
1979-08,27.528816
1979-09,28.090379
1979-10,28.774022
1979-11,28.883893
1979-12,28.883893
1980-01,29.677406
1980-02,30.580791
1980-03,31.154562
1980-04,31.484176
1980-05,32.61951
1980-06,32.85146
1980-07,32.61951
1980-08,32.961331
1980-09,33.071203
1980-10,33.522895
1980-11,33.974587
1980-12,33.754845
1981-01,34.438487
1981-02,34.89018
1981-03,35.793564
1981-04,36.245257
1981-05,36.355128
1981-06,36.587078
1981-07,36.587078
1981-08,36.696949
1981-09,37.148641
1981-10,37.380591
1981-11,37.600334
1981-12,37.832284
1982-01,37.722413
1982-02,37.832284
1982-03,38.174105
1982-04,37.942155
1982-05,38.393847
1982-06,38.393847
1982-07,38.283976
1982-08,38.283976
1982-09,38.625797
1982-10,38.84554
1982-11,39.187361
1982-12,38.84554
1983-01,38.625797
1983-02,38.967619
1983-03,39.07749
1983-04,39.30944
1983-05,39.761132
1983-06,39.980874
1983-07,39.980874
1983-08,40.432567
1983-09,40.554646
1983-10,40.554646
1983-11,40.664517
1983-12,40.432567
1984-01,40.090745
1984-02,40.090745
1984-03,40.090745
1984-04,40.322696
1984-05,40.554646
1984-06,40.212824
1984-07,40.090745
1984-08,40.212824
1984-09,40.212824
1984-10,40.432567
1984-11,40.090745
1984-12,40.090745
1985-01,40.322696
1985-02,40.664517
1985-03,40.774388
1985-04,40.884259
1985-05,41.116209
1985-06,41.116209
1985-07,41.116209
1985-08,41.22608
1985-09,41.45803
1985-10,41.677772
1985-11,41.567901
1985-12,41.45803
1986-01,41.348159
1986-02,41.348159
1986-03,41.677772
1986-04,41.677772
1986-05,41.799851
1986-06,41.799851
1986-07,41.799851
1986-08,42.019594
1986-09,42.251544
1986-10,42.251544
1986-11,42.251544
1986-12,42.251544
1987-01,42.251544
1987-02,42.251544
1987-03,42.251544
1987-04,42.471286
1987-05,42.703236
1987-06,42.922978
1987-07,42.922978
1987-08,43.2648
1987-09,43.386879
1987-10,43.386879
1987-11,43.716492
1987-12,43.838571
1988-01,43.606621
1988-02,44.058313
1988-03,44.290263
1988-04,44.400134
1988-05,44.510005
1988-06,44.510005
1988-07,44.510005
1988-08,44.741956
1988-09,45.083777
1988-10,45.303519
1988-11,45.083777
1988-12,45.083777
1989-01,45.425598
1989-02,45.987161
1989-03,45.987161
1989-04,45.987161
1989-05,46.438854
1989-06,46.548725
1989-07,47.232367
1989-08,47.793931
1989-09,48.025881
1989-10,48.257831
1989-11,48.257831
1989-12,48.025881
1990-01,48.257831
1990-02,48.587444
1990-03,48.819394
1990-04,49.161216
1990-05,49.380958
1990-06,49.612908
1990-07,49.722779
1990-08,49.83265
1990-09,50.0646
1990-10,51.077856
1990-11,51.309806
1990-12,51.077856
1991-01,51.199935
1991-02,51.541756
1991-03,51.541756
1991-04,52.10332
1991-05,52.664883
1991-06,52.664883
1991-07,52.445141
1991-08,53.006704
1991-09,53.458396
1991-10,53.690347
1991-11,53.690347
1991-12,53.458396
1992-01,53.690347
1992-02,53.690347
1992-03,53.690347
1992-04,53.800218
1992-05,54.825681
1992-06,55.045424
1992-07,55.155295
1992-08,55.497116
1992-09,55.497116
1992-10,55.497116
1992-11,55.277374
1992-12,55.155295
1993-01,55.277374
1993-02,55.497116
1993-03,55.497116
1993-04,56.180758
1993-05,56.290629
1993-06,56.412708
1993-07,56.974272
1993-08,56.974272
1993-09,57.535835
1993-10,57.535835
1993-11,57.316093
1993-12,57.535835
1994-01,57.877656
