TIME_PERIOD,ipc
1964-01,6.97633e-05
1964-02,7.07609e-05
1964-03,7.07609e-05
1964-04,7.07609e-05
1964-05,6.97633e-05
1964-06,7.07609e-05
1964-07,6.72727e-05
1964-08,6.67704e-05
1964-09,6.92679e-05
1964-10,7.02586e-05
1964-11,7.17585e-05
1964-12,7.17585e-05
1965-01,7.22538e-05
1965-02,7.27561e-05
1965-03,7.32514e-05
1965-04,7.5742e-05
1965-05,7.4249e-05
1965-06,7.5742e-05
1965-07,7.4249e-05
1965-08,7.17515e-05
1965-09,7.32514e-05
1965-10,7.37467e-05
1965-11,7.57489e-05
1965-12,7.67396e-05
1966-01,7.77372e-05
1966-02,7.87348e-05
1966-03,7.87278e-05
1966-04,7.97254e-05
1966-05,7.77372e-05
1966-06,7.72349e-05
1966-07,7.4249e-05
1966-08,7.37467e-05
1966-09,7.62443e-05
1966-10,7.72349e-05
1966-11,7.87348e-05
1966-12,7.92301e-05
1967-01,8.02347e-05
1967-02,8.27183e-05
1967-03,8.32206e-05
1967-04,8.47065e-05
1967-05,8.42112e-05
1967-06,8.57042e-05
1967-07,8.02277e-05
1967-08,7.8979e-05
1967-09,8.20765e-05
1967-10,8.21672e-05
1967-11,8.25718e-05
1967-12,8.39112e-05
1968-01,8.23764e-05
1968-02,8.41694e-05
1968-03,8.31159e-05
1968-04,8.39112e-05
1968-05,8.29694e-05
1968-06,8.22718e-05
1968-07,7.95301e-05
1968-08,7.83302e-05
1968-09,8.13788e-05
1968-10,8.26206e-05
1968-11,8.4267e-05
1968-12,8.43577e-05
1969-01,8.52646e-05
1969-02,8.73087e-05
1969-03,8.70087e-05
1969-04,8.90947e-05
1969-05,8.86482e-05
1969-06,9.06434e-05
1969-07,8.54042e-05
1969-08,8.31648e-05
1969-09,8.58646e-05
1969-10,8.82575e-05
1969-11,9.00434e-05
1969-12,9.10271e-05
1970-01,9.24572e-05
1970-02,9.4292e-05
1970-03,9.34828e-05
1970-04,9.47943e-05
1970-05,9.34549e-05
1970-06,9.23177e-05
1970-07,8.90737e-05
1970-08,9.06783e-05
1970-09,9.5464e-05
1970-10,9.92382e-05
1970-11,0.0001004521
1970-12,0.000101652
1971-01,0.0001031519
1971-02,0.0001052309
1971-03,0.0001045123
1971-04,0.0001071773
1971-05,0.0001057053
1971-06,0.0001086632
1971-07,0.0001055169
1971-08,0.0001090051
1971-09,0.0001148303
1971-10,0.000118172
1971-11,0.0001206137
1971-12,0.0001194138
1972-01,0.0001215415
1972-02,0.0001243251
1972-03,0.0001215974
1972-04,0.0001250158
1972-05,0.00012053
1972-06,0.0001218066
1972-07,0.0001189324
1972-08,0.0001168325
1972-09,0.0001258111
1972-10,0.00013112
1972-11,0.0001326897
1972-12,0.0001336803
1973-01,0.0001369174
1973-02,0.000137622
1973-03,0.00013495
1973-04,0.0001399172
1973-05,0.000142631
1973-06,0.0001477795
1973-07,0.000143517
1973-08,0.0001407195
1973-09,0.0001505072
1973-10,0.0001544768
1973-11,0.0001560953
1973-12,0.000155593
1974-01,0.0001599113
1974-02,0.0001610834
1974-03,0.0001640622
1974-04,0.0001693154
1974-05,0.0001707735
1974-06,0.0001712339
1974-07,0.0001687434
1974-08,0.0001661691
1974-09,0.0001774638
1974-10,0.000185047
1974-11,0.0001873353
1974-12,0.0001846424
1975-01,0.0001911722
1975-02,0.0001997741
1975-03,0.0002050272
1975-04,0.000211271
1975-05,0.0002099316
1975-06,0.0002098479
1975-07,0.0001985951
1975-08,0.0001961673
1975-09,0.0002084456
1975-10,0.0002153731
1975-11,0.0002194752
1975-12,0.0002175846
1976-01,0.0002246795
1976-02,0.0002262632
1976-03,0.0002327232
1976-04,0.0002406553
1976-05,0.0002368462
1976-06,0.0002366439
1976-07,0.0002275677
1976-08,0.0002273375
1976-09,0.000243711
1976-10,0.0002515105
1976-11,0.0002561288
1976-12,0.0002571613
1977-01,0.0002664747
1977-02,0.0002667189
1977-03,0.0002742673
1977-04,0.000281111
1977-05,0.0002861131
1977-06,0.0002962078
1977-07,0.0002902221
1977-08,0.0002899012
1977-09,0.0003294291
1977-10,0.0003524719
1977-11,0.0003681616
1977-12,0.0003701848
1978-01,0.0003871582
1978-02,0.0003901091
1978-03,0.0004048152
1978-04,0.0004274883
1978-05,0.0004407573
1978-06,0.0004573749
1978-07,0.0004615049
1978-08,0.0004581841
1978-09,0.0004940773
1978-10,0.0005103042
1978-11,0.0005282404
1978-12,0.0005307658
1979-01,0.0005498042
1979-02,0.0005553922
1979-03,0.0005841068
1979-04,0.0006372524
1979-05,0.0006517911
1979-06,0.0006846426
1979-07,0.0006955396
1979-08,0.000711062
1979-09,0.0008023821
1979-10,0.0008493537
1979-11,0.0009225702
1979-12,0.0009492756
1980-01,0.0010164227
1980-02,0.0012979593
1980-03,0.0013639553
1980-04,0.0014846737
1980-05,0.001555888
1980-06,0.00161924
1980-07,0.0015846444
1980-08,0.0015417888
1980-09,0.0016802619
1980-10,0.0017913738
1980-11,0.0018375781
1980-12,0.0018388408
1981-01,0.0019305934
1981-02,0.0019687469
1981-03,0.0019861877
1981-04,0.0020265737
1981-05,0.002030899
1981-06,0.0021237958
1981-07,0.0020806402
1981-08,0.0020380916
1981-09,0.0022056839
1981-10,0.002266629
1981-11,0.0023232489
1981-12,0.0023364341
1982-01,0.0024311936
1982-02,0.0025353501
1982-03,0.0025758826
1982-04,0.0026578544
1982-05,0.0026631145
1982-06,0.0026953103
1982-07,0.0026084969
1982-08,0.002581045
1982-09,0.002744312
1982-10,0.002834195
1982-11,0.0029052209
1982-12,0.0029506856
1983-01,0.0031338072
1983-02,0.0032685689
1983-03,0.0033203193
1983-04,0.0034419236
1983-05,0.0034620503
1983-06,0.003490423
1983-07,0.0033779995
1983-08,0.0033760043
1983-09,0.003595047
1983-10,0.003806318
1983-11,0.0039540068
1983-12,0.0040453827
1984-01,0.0042638603
1984-02,0.0044135513
1984-03,0.0045212727
1984-04,0.0049068054
1984-05,0.0051404495
1984-06,0.0054468079
1984-07,0.0052652909
1984-08,0.0052699441
1984-09,0.0055485925
1984-10,0.0058221481
1984-11,0.0060543761
1984-12,0.0060551365
1985-01,0.0065138996
1985-02,0.0068599882
1985-03,0.0071422573
1985-04,0.0073572676
1985-05,0.0075276713
1985-06,0.0074332607
1985-07,0.0072213479
1985-08,0.007234575
1985-09,0.0078174121
1985-10,0.0083524474
1985-11,0.0087509979
1985-12,0.0087308991
1986-01,0.0091813395
1986-02,0.0095230329
1986-03,0.0095856245
1986-04,0.0098300401
1986-05,0.010008041
1986-06,0.0101961995
1986-07,0.0099495724
1986-08,0.0098014023
1986-09,0.0103432186
1986-10,0.0111638856
1986-11,0.0114323067
1986-12,0.0114086639
1987-01,0.0119669583
1987-02,0.0125304012
1987-03,0.0129156688
1987-04,0.0134710889
1987-05,0.0141233544
1987-06,0.0140381316
1987-07,0.0137045447
1987-08,0.0136131688
1987-09,0.0144525812
1987-10,0.0152308879
1987-11,0.0162018599
1987-12,0.0176891287
1988-01,0.0191028601
1988-02,0.0205235469
1988-03,0.0219346831
1988-04,0.0235043563
1988-05,0.0240365314
1988-06,0.0244347679
1988-07,0.0240542164
1988-08,0.0242913417
1988-09,0.0262690113
1988-10,0.0283264064
1988-11,0.030376874
1988-12,0.0309931277
1989-01,0.0333020123
1989-02,0.0354277545
1989-03,0.036089138
1989-04,0.0381992741
1989-05,0.039126665
1989-06,0.0409722239
1989-07,0.041476682
1989-08,0.0421090441
1989-09,0.0454821671
1989-10,0.0491009964
1989-11,0.0514584223
1989-12,0.0523070993
1990-01,0.0532832267
1990-02,0.0565072657
1990-03,0.0587531123
1990-04,0.0624558179
1990-05,0.0640112245
1990-06,0.0666208306
