TIME_PERIOD,ipc
1913-01,4.494269
1913-02,4.494269
1913-03,4.494269
1913-04,4.494269
1913-05,4.448409
1913-06,4.494269
1913-07,4.540129
1913-08,4.540129
1913-09,4.585988
1913-10,4.585988
1913-11,4.631848
1913-12,4.585988
1914-01,4.585988
1914-02,4.540129
1914-03,4.540129
1914-04,4.494269
1914-05,4.540129
1914-06,4.540129
1914-07,4.585988
1914-08,4.677708
1914-09,4.677708
1914-10,4.631848
1914-11,4.677708
1914-12,4.631848
1915-01,4.631848
1915-02,4.585988
1915-03,4.540129
1915-04,4.585988
1915-05,4.631848
1915-06,4.631848
1915-07,4.631848
1915-08,4.631848
1915-09,4.631848
1915-10,4.677708
1915-11,4.723568
1915-12,4.723568
1916-01,4.769428
1916-02,4.769428
1916-03,4.815288
1916-04,4.861148
1916-05,4.907008
1916-06,4.952868
1916-07,4.952868
1916-08,4.998727
1916-09,5.090447
1916-10,5.182167
1916-11,5.273887
1916-12,5.319747
1917-01,5.365606
1917-02,5.503186
1917-03,5.503186
1917-04,5.778345
1917-05,5.870065
1917-06,5.961785
1917-07,5.870065
1917-08,5.961785
1917-09,6.099365
1917-10,6.191084
1917-11,6.191084
1917-12,6.282804
1918-01,6.420384
1918-02,6.466244
1918-03,6.420384
1918-04,6.512104
1918-05,6.649683
1918-06,6.741403
1918-07,6.924843
1918-08,7.062422
1918-09,7.200002
1918-10,7.337581
1918-11,7.475161
1918-12,7.566881
1919-01,7.566881
1919-02,7.429301
1919-03,7.521021
1919-04,7.658601
1919-05,7.75032
1919-06,7.75032
1919-07,7.97962
1919-08,8.1172
1919-09,8.163059
1919-10,8.300639
1919-11,8.484079
1919-12,8.667518
1920-01,8.850958
1920-02,8.942677
1920-03,9.034397
1920-04,9.309557
1920-05,9.447136
1920-06,9.584716
1920-07,9.538856
1920-08,9.309557
1920-09,9.171977
1920-10,9.126117
1920-11,9.080257
1920-12,8.896818
1921-01,8.713378
1921-02,8.438219
1921-03,8.392359
1921-04,8.300639
1921-05,8.1172
1921-06,8.07134
1921-07,8.1172
1921-08,8.1172
1921-09,8.02548
1921-10,8.02548
1921-11,7.97962
1921-12,7.93376
1922-01,7.75032
1922-02,7.75032
1922-03,7.658601
1922-04,7.658601
1922-05,7.658601
1922-06,7.658601
1922-07,7.704461
1922-08,7.612741
1922-09,7.612741
1922-10,7.658601
1922-11,7.704461
1922-12,7.75032
1923-01,7.704461
1923-02,7.704461
1923-03,7.704461
1923-04,7.75032
1923-05,7.75032
1923-06,7.79618
1923-07,7.8879
1923-08,7.84204
1923-09,7.8879
1923-10,7.93376
1923-11,7.93376
1923-12,7.93376
1924-01,7.93376
1924-02,7.8879
1924-03,7.84204
1924-04,7.79618
1924-05,7.79618
1924-06,7.79618
1924-07,7.84204
1924-08,7.79618
1924-09,7.84204
1924-10,7.8879
1924-11,7.8879
1924-12,7.93376
1925-01,7.93376
1925-02,7.8879
1925-03,7.93376
1925-04,7.8879
1925-05,7.93376
1925-06,8.02548
1925-07,8.1172
1925-08,8.1172
1925-09,8.1172
1925-10,8.1172
1925-11,8.254779
1925-12,8.208919
