TIME_PERIOD,ipc
1922-01,0.8512
1922-02,0.8445
1922-03,0.8345
1922-04,0.8422
1922-05,0.8406
1922-06,0.8316
1922-07,0.8253
1922-08,0.8249
1922-09,0.8141
1922-10,0.8182
1922-11,0.8204
1922-12,0.808
1923-01,0.8057
1923-02,0.8051
1923-03,0.8012
1923-04,0.8012
1923-05,0.8051
1923-06,0.8029
1923-07,0.7984
1923-08,0.7961
1923-09,0.8012
1923-10,0.8118
1923-11,0.8186
1923-12,0.8137
1924-01,0.8147
1924-02,0.8204
1924-03,0.823
1924-04,0.823
1924-05,0.8214
1924-06,0.8147
1924-07,0.808
1924-08,0.808
1924-09,0.808
1924-10,0.8141
1924-11,0.8204
1924-12,0.8169
1925-01,0.8141
1925-02,0.8141
1925-03,0.8159
1925-04,0.8226
1925-05,0.8214
1925-06,0.8192
1925-07,0.8141
1925-08,0.8114
1925-09,0.808
1925-10,0.808
1925-11,0.8045
1925-12,0.8012
1926-01,0.8012
1926-02,0.8035
1926-03,0.8045
1926-04,0.8057
1926-05,0.8069
1926-06,0.8012
1926-07,0.7961
1926-08,0.7961
1926-09,0.7967
1926-10,0.8018
1926-11,0.8012
1926-12,0.7929
1927-01,0.7973
1927-02,0.7996
1927-03,0.8012
1927-04,0.8051
1927-05,0.808
1927-06,0.8118
1927-07,0.808
1927-08,0.8051
1927-09,0.8012
1927-10,0.8069
1927-11,0.8069
1927-12,0.8092
1928-01,0.8092
1928-02,0.8057
1928-03,0.8096
1928-04,0.8124
1928-05,0.8137
1928-06,0.808
1928-07,0.8018
1928-08,0.8012
1928-09,0.8006
1928-10,0.8012
1928-11,0.8051
1928-12,0.8035
1929-01,0.8018
1929-02,0.8029
1929-03,0.8069
1929-04,0.8118
1929-05,0.8118
1929-06,0.8096
1929-07,0.8045
1929-08,0.8012
1929-09,0.8006
1929-10,0.799
1929-11,0.7967
1929-12,0.7939
1930-01,0.7922
1930-02,0.7906
1930-03,0.7906
1930-04,0.7939
1930-05,0.7939
1930-06,0.7929
1930-07,0.7855
1930-08,0.7827
1930-09,0.7725
1930-10,0.7743
1930-11,0.7747
1930-12,0.7721
1931-01,0.7714
1931-02,0.7686
1931-03,0.7612
1931-04,0.7619
1931-05,0.7641
1931-06,0.7561
1931-07,0.7539
1931-08,0.7506
1931-09,0.7461
1931-10,0.7478
1931-11,0.7461
1931-12,0.7394
1932-01,0.736
1932-02,0.7372
1932-03,0.7321
1932-04,0.7298
1932-05,0.7282
1932-06,0.7231
1932-07,0.7186
1932-08,0.7151
1932-09,0.7123
