fecha,Brasil,Canada,Chile,Estados Unidos,Mexico,Uruguay,China,India,Japon,Reino Unido,Suiza,Zona Euro,Vietnam,Paraguay,Sudafrica,Suecia,Republica Checa,Turquia,Dinamarca,Israel,Singapur,Australia,Noruega,Nueva Zelandia,Rusia,Colombia,Peru,Tailandia
1997-01-01,120.2416,75.9954,92.2221,70.2782,73.9953,75.9724,58.4235,55.4918,30.6792,83.8864,71.5263,88.8509,63.2183,,,,,,,,,,,,,,,91.1361
1997-01-02,120.2575,75.8069,92.3541,70.2728,73.7543,76.0094,58.4496,55.3291,30.7841,82.8572,71.5018,88.8678,63.1866,,,,,,,,,,,,,,,91.2313
1997-01-03,120.2618,75.7073,92.2032,70.2665,74.1226,76.0465,58.4751,55.3747,30.6557,82.8827,70.8812,87.9452,63.1748,,,,,,,,,,,,,,,91.1475
1997-01-04,120.2892,75.7014,92.2046,70.2602,74.1721,76.0836,58.5005,55.3664,30.6612,82.8592,70.8781,87.9407,63.18,,,,,,,,,,,,,,,91.1348
1997-01-05,120.3167,75.6954,92.2061,70.2539,74.2218,76.1207,58.5259,55.358,30.6666,82.8356,70.8749,87.9361,63.1851,,,,,,,,,,,,,,,91.1221
1997-01-06,120.2632,75.96,92.1424,70.2501,74.4322,76.0707,58.5535,55.3652,30.7939,82.4647,70.8403,87.5318,63.162,,,,,,,,,,,,,,,91.1483
1997-01-07,120.2906,76.6474,92.2089,70.2472,74.6389,76.1078,58.5818,55.3337,30.9169,82.9598,70.9681,87.6689,63.136,,,,,,,,,,,,,,,91.2469
1997-01-08,120.2256,76.811,92.0153,70.2443,74.8608,75.9711,58.6101,55.3562,30.8022,82.5946,70.6308,87.2419,63.1355,,,,,,,,,,,,,,,91.1674
1997-01-09,120.2646,77.0609,92.1033,70.2414,74.9109,75.6627,58.6384,55.3502,30.7121,82.8593,70.307,87.0678,63.1859,,,,,,,,,,,,,,,91.1235
1997-01-10,120.292,77.2263,92.0614,70.236,74.5651,75.6566,58.6646,55.3782,30.7693,82.1565,69.7927,86.753,63.1656,,,,,,,,,,,,,,,91.112
1997-01-11,120.3195,77.2203,92.0628,70.2297,74.615,75.6935,58.6901,55.3699,30.7747,82.1331,69.7896,86.7485,63.1708,,,,,,,,,,,,,,,91.0993
1997-01-12,120.3469,77.2142,92.0643,70.2234,74.6649,75.7304,58.7157,55.3615,30.7802,82.1098,69.7865,86.7441,63.176,,,,,,,,,,,,,,,91.0867
1997-01-13,120.282,77.1852,92.0441,70.218,75.1404,75.7674,58.7419,55.3378,30.6771,81.4949,69.6113,86.4519,63.1246,,,,,,,,,,,,,,,91.0041
1997-01-14,120.2979,77.0592,92.0671,70.2134,75.3497,75.8043,58.7689,55.3472,30.5408,81.5112,69.7245,86.1787,63.1495,,,,,,,,,,,,,,,90.9937
1997-01-15,120.2214,77.495,92.0469,70.2088,75.3373,75.8413,58.7959,55.3389,30.4758,81.8733,70.0164,86.4002,63.118,,,,,,,,,,,,,,,90.9478
1997-01-16,120.1682,77.7088,92.1784,70.2059,75.2576,75.8783,58.8243,55.3167,30.6631,81.7678,69.7842,86.2592,63.1429,,,,,,,,,,,,,,,90.9041
