serie,lado,tipo,ventana,peso_rubro,cobertura,publicable,ponderadores_propios_desde,tramo_empalmado
IMPO total,IMPO,total,12,1.0,0.9498,True,2003-02-01,1997-01 a 2003-01-31
IMPO - Origen Brasil,IMPO,familia,12,0.258,0.9492,True,2003-02-01,1997-01 a 2003-01-31
IMPO - Origen asiático,IMPO,familia,12,0.5092,0.9413,True,2003-02-01,1997-01 a 2003-01-31
IMPO - Origen diversificado,IMPO,familia,12,0.2328,0.964,True,2003-02-01,1997-01 a 2003-01-31
IMPO - Otros productos de metal,IMPO,rubro,12,0.2691,0.9523,True,2003-02-01,1997-01 a 2003-01-31
IMPO - Equipos y aparatos eléctricos,IMPO,rubro,12,0.2401,0.9201,True,2003-02-01,1997-01 a 2003-01-31
IMPO - Autopartes,IMPO,rubro,12,0.2211,0.9415,True,2003-02-01,1997-01 a 2003-01-31
IMPO - Bienes de capital,IMPO,rubro,12,0.203,0.9689,True,2003-02-01,1997-01 a 2003-01-31
IMPO - Maquinaria agrícola,IMPO,rubro,12,0.0338,0.9898,True,2003-02-01,1997-01 a 2003-01-31
IMPO - Equipamiento médico,IMPO,rubro,12,0.0266,0.9344,True,2003-02-01,1997-01 a 2003-01-31
IMPO - Buques y embarcaciones,IMPO,rubro,36,0.0032,0.9736,True,2005-02-01,1997-01 a 2005-01-31
IMPO - Carrocerias y remolques,IMPO,rubro,12,0.0032,0.9988,True,2003-02-01,1997-01 a 2003-01-31
EXPO total,EXPO,total,12,1.0,0.8505,True,2003-02-01,1997-01 a 2003-01-31
EXPO - Destino Brasil,EXPO,familia,12,0.2844,0.9603,True,2003-02-01,1997-01 a 2003-01-31
EXPO - Destino extrarregional,EXPO,familia,12,0.6499,0.8045,True,2003-02-01,1997-01 a 2003-01-31
EXPO - Destino regional,EXPO,familia,12,0.0522,0.8369,True,2003-02-01,1997-01 a 2003-01-31
EXPO - Otros productos de metal,EXPO,rubro,12,0.4536,0.7632,True,2003-02-01,1997-01 a 2003-01-31
EXPO - Autopartes,EXPO,rubro,12,0.2844,0.9603,True,2003-02-01,1997-01 a 2003-01-31
EXPO - Bienes de capital,EXPO,rubro,12,0.141,0.8874,True,2003-02-01,1997-01 a 2003-01-31
EXPO - Equipos y aparatos eléctricos,EXPO,rubro,12,0.0553,0.8948,True,2003-02-01,1997-01 a 2003-01-31
EXPO - Maquinaria agrícola,EXPO,rubro,12,0.0288,0.7283,True,2003-02-01,1997-01 a 2003-01-31
EXPO - Buques y embarcaciones,EXPO,rubro,36,0.0159,0.9591,True,2005-02-01,1997-01 a 2005-01-31
EXPO - Equipamiento médico,EXPO,rubro,12,0.0135,0.851,True,2003-02-01,1997-01 a 2003-01-31
EXPO - Carrocerias y remolques,EXPO,rubro,12,0.0075,0.914,True,2003-02-01,1997-01 a 2003-01-31
