grupo,IMPO,EXPO
China,33.3229,0.5351
Brasil,18.4025,43.1048
Zona Euro,14.4643,4.9242
Estados Unidos,10.3714,22.0407
Tailandia,6.5731,0.4592
Japon,3.8188,0.1038
Mexico,2.1745,3.8322
India,1.898,0.5341
Canada,1.4628,1.5819
Vietnam,1.0804,0.0113
Reino Unido,0.8627,0.2576
Chile,0.829,6.1613
Paraguay,0.7402,3.3486
Turquia,0.6308,0.3847
Suiza,0.5679,0.1533
Republica Checa,0.5402,0.0382
Suecia,0.4923,0.6487
Sudafrica,0.3186,2.1767
Dinamarca,0.2739,0.0427
Israel,0.2061,0.0246
Uruguay,0.1691,5.4283
Singapur,0.165,0.0393
Peru,0.1515,1.4166
Australia,0.1368,0.409
Colombia,0.1105,2.1755
Rusia,0.1062,0.1139
Noruega,0.089,0.0238
Nueva Zelandia,0.0414,0.0298
