fecha,ITCRM BCRA,IMPO total,IMPO - Origen Brasil,IMPO - Origen asiático,IMPO - Origen diversificado,IMPO - Otros productos de metal,IMPO - Equipos y aparatos eléctricos,IMPO - Autopartes,IMPO - Bienes de capital,IMPO - Maquinaria agrícola,IMPO - Equipamiento médico,IMPO - Buques y embarcaciones,IMPO - Carrocerias y remolques,EXPO total,EXPO - Destino Brasil,EXPO - Destino extrarregional,EXPO - Destino regional,EXPO - Otros productos de metal,EXPO - Autopartes,EXPO - Bienes de capital,EXPO - Equipos y aparatos eléctricos,EXPO - Maquinaria agrícola,EXPO - Buques y embarcaciones,EXPO - Equipamiento médico,EXPO - Carrocerias y remolques
1997-01-02,86.3331,72.4396,81.3475,68.3954,71.4958,71.6218,64.9444,82.3069,72.25,91.5824,75.3639,47.8243,69.896,89.4747,99.5568,84.1779,100.2522,80.5094,99.5568,93.665,91.0873,89.9802,93.7336,81.8562,99.5046
1997-01-03,86.0561,72.2186,81.1273,68.2291,71.1664,71.4753,64.7309,82.0785,71.9243,91.4683,75.0321,47.4702,69.8044,89.3601,99.4084,84.077,100.1769,80.407,99.4084,93.5468,91.0214,89.909,93.4476,81.7804,99.4609
1997-01-04,86.0622,72.2221,81.1354,68.2331,71.165,71.4792,64.7352,82.0867,71.9227,91.4776,75.0314,47.4724,69.8075,89.3716,99.4247,84.0859,100.196,80.4137,99.4247,93.5606,91.0353,89.9266,93.4528,81.792,99.4782
1997-01-05,86.0683,72.2257,81.1435,68.237,71.1637,71.483,64.7396,82.095,71.921,91.487,75.0306,47.4746,69.8107,89.3831,99.441,84.0948,100.215,80.4203,99.441,93.5744,91.0493,89.9442,93.458,81.8036,99.4956
1997-01-06,85.9407,72.1471,81.0646,68.1809,71.0411,71.435,64.6648,82.0146,71.7934,91.4103,74.9034,47.4396,69.7594,89.3308,99.3467,84.0627,100.1461,80.398,99.3467,93.5164,91.0011,89.8818,93.3134,81.7749,99.4433
1997-01-07,86.0246,72.2285,81.1728,68.2477,71.1272,71.4974,64.7435,82.1277,71.8771,91.4439,74.9806,47.5621,69.7799,89.4088,99.4358,84.1371,100.1874,80.4779,99.4358,93.5846,91.0543,89.9225,93.3659,81.8398,99.4798
1997-01-08,85.8594,72.0982,81.0157,68.1506,70.9551,71.4054,64.6317,81.9651,71.7076,91.3571,74.8129,47.362,69.7237,89.3204,99.3299,84.0573,100.0918,80.4062,99.3299,93.4775,90.9694,89.8373,93.1995,81.7727,99.3854
1997-01-09,85.8107,72.0585,80.9724,68.125,70.8903,71.3831,64.5984,81.9194,71.6467,91.3535,74.7428,47.253,69.7151,89.3095,99.3197,84.0465,100.0787,80.397,99.3197,93.4624,90.956,89.8359,93.1166,81.7283,99.4178
1997-01-10,85.6945,71.974,80.8813,68.0635,70.7661,71.3284,64.5203,81.8244,71.5192,91.3192,74.6115,47.1974,69.6884,89.2335,99.1876,83.9945,100.0563,80.3483,99.1876,93.3974,90.9044,89.8115,93.0192,81.6452,99.4194
1997-01-11,85.7005,71.9775,80.8894,68.0674,70.7648,71.3323,64.5247,81.8326,71.5176,91.3285,74.6108,47.1996,69.6915,89.245,99.2039,84.0034,100.0753,80.355,99.2039,93.4112,90.9184,89.8291,93.0243,81.6568,99.4367
1997-01-12,85.7066,71.981,80.8975,68.0714,70.7634,71.3361,64.529,81.8408,71.5159,91.3379,74.61,47.2017,69.6946,89.2565,99.2202,84.0123,100.0943,80.3617,99.2202,93.425,90.9323,89.8467,93.0295,81.6684,99.454
1997-01-13,85.5944,71.8808,80.7692,67.9989,70.6331,71.2673,64.4459,81.708,71.387,91.2649,74.4911,47.0482,69.6501,89.2216,99.1762,83.9818,100.044,80.3298,99.1762,93.3875,90.9213,89.8016,92.9269,81.6823,99.4078
1997-01-14,85.5169,71.8065,80.6828,67.9434,70.5322,71.2174,64.3769,81.6178,71.2906,91.2359,74.3979,46.8789,69.6247,89.1987,99.1523,83.9583,100.0387,80.2998,99.1523,93.37,90.926,89.7969,92.8466,81.6783,99.4206
1997-01-15,85.5779,71.8519,80.7146,67.9769,70.6127,71.2419,64.4298,81.6516,71.3743,91.2307,74.4809,46.9031,69.6302,89.2163,99.1799,83.9731,100.016,80.3217,99.1799,93.3708,90.9213,89.775,92.9039,81.6998,99.3736
1997-01-16,85.5397,71.8414,80.7166,67.9722,70.5801,71.2428,64.4135,81.6554,71.3352,91.1888,74.4348,46.9837,69.6054,89.2009,99.114,83.9819,99.9857,80.3376,99.114,93.3624,90.9154,89.7447,92.8551,81.6957,99.3721
1997-01-17,85.2227,71.5869,80.4464,67.778,70.2213,71.0665,64.1747,81.3744,70.9808,91.0684,74.0728,46.5975,69.5122,89.0247,98.8835,83.8275,99.8876,80.186,98.8835,93.1794,90.7885,89.6476,92.5614,81.5456,99.2909
1997-01-18,85.2287,71.5904,80.4545,67.7819,70.22,71.0703,64.1791,81.3826,70.9792,91.0777,74.0721,46.5996,69.5153,89.0362,98.8997,83.8364,99.9066,80.1927,98.8997,93.1931,90.8024,89.6652,92.5665,81.5572,99.3082
1997-01-19,85.2348,71.5939,80.4626,67.7858,70.2186,71.0741,64.1834,81.3908,70.9775,91.087,74.0714,46.6017,69.5184,89.0477,98.9159,83.8452,99.9256,80.1993,98.9159,93.2069,90.8163,89.6828,92.5717,81.5687,99.3255
