fecha,ITCRM BCRA,IMPO total,IMPO - Origen Brasil,IMPO - Origen asiático,IMPO - Origen diversificado,IMPO - Otros productos de metal,IMPO - Equipos y aparatos eléctricos,IMPO - Autopartes,IMPO - Bienes de capital,IMPO - Maquinaria agrícola,IMPO - Equipamiento médico,IMPO - Buques y embarcaciones,IMPO - Carrocerias y remolques,EXPO total,EXPO - Destino Brasil,EXPO - Destino extrarregional,EXPO - Destino regional,EXPO - Otros productos de metal,EXPO - Autopartes,EXPO - Bienes de capital,EXPO - Equipos y aparatos eléctricos,EXPO - Maquinaria agrícola,EXPO - Buques y embarcaciones,EXPO - Equipamiento médico,EXPO - Carrocerias y remolques
1997-01-31,85.3515,71.6474,80.4936,67.8273,70.3153,71.1146,64.2289,81.4206,71.0788,91.1607,74.1793,46.6118,69.5695,89.1223,98.9981,83.9149,100.0307,80.2443,98.9981,93.3314,90.9444,89.7825,92.7056,81.6319,99.4972
1997-02-28,84.0417,70.4935,79.1412,67.0109,68.6712,70.3941,63.1845,80.0185,69.4617,90.4564,72.5489,44.7131,69.0721,88.6494,98.1206,83.6222,99.7091,79.9084,98.1206,93.0018,90.9556,89.4911,91.3407,81.4526,99.7413
1997-03-31,83.8017,70.384,79.0701,66.9431,68.4473,70.379,63.0087,79.9505,69.213,90.2764,72.2799,44.9108,68.9789,88.5584,97.7774,83.6509,99.5847,79.9458,97.7774,92.9957,90.9886,89.3616,91.0651,81.4506,99.85
1997-04-30,84.0587,70.5687,79.3617,67.125,68.5427,70.5935,63.134,80.2392,69.3247,90.7658,72.4088,44.7133,69.2875,88.9822,98.4269,83.9623,100.1361,80.2014,98.4269,93.431,91.4321,89.877,91.3067,81.8073,100.3605
1997-05-31,84.5263,71.134,80.1061,67.615,69.0951,71.095,63.6223,81.0167,69.827,91.0069,72.9238,45.9626,69.4915,89.4338,98.8365,84.4432,100.3717,80.7282,98.8365,93.8629,91.7259,90.0945,91.6412,82.2744,100.5685
1997-06-30,84.291,71.0996,80.2014,67.5959,68.9207,71.1171,63.5203,81.1265,69.6127,90.7897,72.6855,46.4482,69.347,89.3668,98.5532,84.484,100.1706,80.8122,98.5532,93.8166,91.6523,89.9042,91.2778,82.2821,100.5797
1997-07-31,83.385,70.3407,79.4679,67.0002,67.8303,70.6172,62.7097,80.3744,68.5311,90.1995,71.4901,45.4658,68.9301,88.8856,97.9028,84.0848,99.6507,80.4119,97.9028,93.3341,91.3864,89.4422,90.2153,81.8606,100.0557
1997-08-31,82.4436,69.5191,78.3505,66.3984,66.8385,70.0627,61.989,79.2214,67.5567,89.4713,70.5376,44.2641,68.5282,88.3643,97.1049,83.6988,98.9762,80.0437,97.1049,92.817,91.0995,88.8222,89.3261,81.6687,99.5523
1997-09-30,83.0211,69.9103,78.5346,66.7012,67.5722,70.3102,62.4135,79.4125,68.3196,89.5468,71.3301,44.4525,68.7151,88.6247,97.5418,83.8916,98.8699,80.2427,97.5418,93.0047,91.2651,88.7388,90.0278,82.0026,99.2376
1997-10-31,83.4733,70.2435,78.8734,66.9319,68.098,70.5437,62.6486,79.7659,68.8539,89.6654,71.8393,44.837,68.8675,88.9102,97.8644,84.1688,98.9481,80.4951,97.8644,93.3333,91.6068,88.7981,90.5661,82.3239,99.2857
1997-11-30,83.6703,70.3936,78.904,66.9623,68.5878,70.542,62.7437,79.7932,69.3881,89.782,72.3422,44.6438,69.0204,88.5826,97.675,83.775,98.6675,80.1325,97.675,92.8837,91.1182,88.485,91.0267,81.8495,98.64
1997-12-31,82.9065,69.6959,78.1576,66.398,67.6798,70.0118,62.0897,79.0176,68.5015,89.4346,71.456,43.5172,68.7994,88.1502,97.3218,83.3044,98.2632,79.6752,97.3218,92.3171,90.7181,88.0764,90.4076,81.5726,97.892
1998-01-31,81.9446,68.9014,77.3986,65.725,66.6332,69.3582,61.3519,78.2401,67.445,88.8094,70.3607,42.7414,68.3744,87.0774,96.3482,82.1944,97.1299,78.6509,96.3482,90.9916,89.4402,87.1817,89.006,80.5131,96.2794
1998-02-28,81.8596,68.9661,77.4785,65.8008,66.6618,69.4336,61.4316,78.3421,67.424,88.3763,70.3676,43.2616,68.0948,86.9537,95.8527,82.2592,96.5385,78.8019,95.8527,90.9273,89.2022,86.9057,88.4844,80.4624,96.3133
1998-03-31,81.3078,68.624,76.942,65.5132,66.3814,69.1141,61.1939,77.8078,67.1424,87.5497,70.0972,43.0645,67.6431,86.5411,95.1421,81.9994,95.6995,78.6546,95.1421,90.398,88.707,85.9975,88.1157,80.389,95.5609
1998-04-30,81.7484,68.946,77.4351,65.7654,66.6917,69.3614,61.4659,78.3075,67.4601,88.0933,70.4112,43.2972,67.9589,87.0251,95.9761,82.3292,96.124,78.9261,95.9761,90.8984,89.1107,86.5612,88.2683,80.6304,96.1815
1998-05-31,82.2405,69.419,77.8417,66.1389,67.4062,69.6869,61.9476,78.7275,68.1721,88.3357,71.1702,43.9445,68.1897,87.3308,96.4228,82.5805,96.2093,79.1711,96.4228,91.1947,89.3295,86.6321,88.8454,80.9771,96.2108
1998-06-30,81.7682,68.9661,77.2431,65.7327,66.9921,69.2955,61.4961,78.1091,67.7822,87.9645,70.7424,43.2661,67.9914,86.6891,95.562,82.0337,95.6629,78.6314,95.562,90.5929,88.8251,86.0163,88.4252,80.4395,95.575
1998-07-31,81.3366,68.6335,76.8418,65.4315,66.6618,68.9655,61.2385,77.7029,67.4436,87.5073,70.4634,42.9953,67.7318,86.2188,94.9919,81.6248,94.8368,78.2789,94.9919,90.0593,88.2802,85.2117,87.4103,80.1843,94.8143
1998-08-31,80.9372,68.3463,76.2551,65.1738,66.5727,68.6802,61.0241,77.1078,67.3704,86.861,70.4296,42.6445,67.4541,85.5785,94.1605,81.0815,93.9509,77.811,94.1605,89.3276,87.5906,84.33,87.242,79.8413,93.7594
1998-09-30,81.9462,69.5637,77.5563,66.0573,68.361,69.5021,62.0637,78.4819,69.0896,86.9191,72.0754,45.184,67.6598,85.5476,94.0567,81.102,93.5762,77.9749,94.0567,89.122,87.1337,83.8933,88.2887,79.6691,93.0586
